dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete
adult,tabpfn3_self_training,250,0.8260142628041082,0.016107825038470185,3,0.7238697816317305,0.02963631799509461,3,0.7397677197709184,0.024268998930875533,3,0.7397677197709184,0.024268998930875533,3,0.8755979975378079,0.0111683523782748,3,0.6828453374977611,0.0336454416035772,3,0.3694849692006392,0.01990325302095006,3,15.260533333333333,0.6625482422686916,3,3,3,0,1.0,True
adult,tabpfn3_self_training,500,0.8411642269764902,0.0027263089849439578,3,0.7460912805375274,0.006692155285670852,3,0.764112400190644,0.001961022138220872,3,0.764112400190644,0.001961022138220872,3,0.8908959288873662,0.003844277979877968,3,0.7314033184465125,0.004017877835520946,3,0.3470992707521317,0.010166346325306557,3,16.841333333333335,1.4661082986373608,3,3,3,0,1.0,True
jannis,laplacian_ssl,50,0.5198144941382536,0.0069230952999847824,3,0.32317455016365876,0.018272870867027308,3,0.28916821025912903,0.01740660393070105,3,0.28916821025912903,0.01740660393070105,3,0.6850201489251667,0.012880642310868013,3,,,0,1.1027936175760418,0.02667505605892718,3,12.979933333333333,0.2923689849032103,3,3,3,0,1.0,True
jannis,laplacian_ssl,100,0.5306423040942656,0.012633373561719386,3,0.3232057953217686,0.0021871037783193384,3,0.29017266140612524,0.006131620442914863,3,0.29017266140612524,0.006131620442914863,3,0.7121134132886344,0.0022335763686846893,3,,,0,1.041881141058351,0.009152034085845744,3,13.503066666666667,0.20455982824917873,3,3,3,0,1.0,True
jannis,laplacian_ssl,250,0.5731772854839673,0.007907976930961225,3,0.3858443733597349,0.009081323846144927,3,0.38814411212631333,0.01103282205202656,3,0.38814411212631333,0.01103282205202656,3,0.7237602560842532,0.010450130637464644,3,,,0,0.9567103566027507,0.011723133359472624,3,15.7296,0.39586256453471264,3,3,3,0,1.0,True
jannis,laplacian_ssl,500,0.5859357894946359,0.011649897213419056,3,0.3856657701318437,0.006881852460216808,3,0.38554203381991115,0.007269575012603071,3,0.38554203381991115,0.007269575012603071,3,0.7478283245315677,0.009805928224897035,3,,,0,0.9212261312000128,0.01616473100981083,3,20.9648,0.9457997303869371,3,3,3,0,1.0,True
jannis,tabiclv2_self_training,50,0.5192372763280986,0.011451099629630724,3,0.3851687085584765,0.014811476107945165,3,0.37900054922459714,0.016079103558722024,3,0.37900054922459714,0.016079103558722024,3,0.670223073947993,0.04375468560388969,3,,,0,1.1695172247853736,0.04987433473038155,3,36.2753,13.913731698936848,3,3,3,0,1.0,True
jannis,tabiclv2_self_training,100,0.537668438128222,0.016058730285856727,3,0.3913891829304343,0.023039042967318235,3,0.3868867973940799,0.017058611773399034,3,0.3868867973940799,0.017058611773399034,3,0.6967650058424728,0.030979870732630005,3,,,0,1.0605923751244217,0.08297982862043157,3,37.028933333333335,8.319283244567005,3,3,3,0,1.0,True
jannis,tabiclv2_self_training,250,0.6147170637527118,0.025788291966568153,3,0.4452784217119085,0.016738508884410655,3,0.44740654646016065,0.017950024246960586,3,0.44740654646016065,0.017950024246960586,3,0.7730227501810886,0.019140128788372925,3,,,0,0.8902135620514633,0.03711230978991355,3,45.17316666666667,0.6763447740119926,3,3,3,0,1.0,True
jannis,tabiclv2_self_training,500,0.6459465376883422,0.012251964982913713,3,0.46713650508417354,0.008906141152577245,3,0.47171910588420024,0.01053663175454799,3,0.47171910588420024,0.01053663175454799,3,0.805583658429429,0.010616862291801601,3,,,0,0.8421565425582335,0.048713558064990045,3,41.256499999999996,7.027670455421201,3,3,3,0,1.0,True
jannis,tabpfn3_self_training,50,0.5302442228458828,0.01142189726972737,3,0.35468651295085846,0.016714906027774527,3,0.34788879291319413,0.013686419549512252,3,0.34788879291319413,0.013686419549512252,3,0.6714585530198517,0.06038833578956101,3,,,0,1.0712534203334254,0.038819078564997486,3,17.5598,0.4840422605516996,3,3,3,0,1.0,True
jannis,tabpfn3_self_training,100,0.5652355645787305,0.005149462151394359,3,0.39675294766262015,0.03383381420758424,3,0.3857632091826064,0.022399585635040117,3,0.3857632091826064,0.022399585635040117,3,0.7144996602305156,0.019356691365226688,3,,,0,0.9882073829662144,0.027332283354392948,3,26.661433333333335,8.385914996786775,3,3,3,0,1.0,True
jannis,tabpfn3_self_training,250,0.5995899763141658,0.022336854622424716,3,0.4281769476612236,0.015135383630598343,3,0.4280698243451653,0.017757168776996287,3,0.4280698243451653,0.017757168776996287,3,0.7589397005238324,0.010010088359248246,3,,,0,0.897625849803089,0.0186953812220926,3,26.372566666666668,0.10187248565404278,3,3,3,0,1.0,True
jannis,tabpfn3_self_training,500,0.640512728647917,0.0034536846363319314,3,0.45597743324426193,0.0055087153712903136,3,0.46009181516724706,0.001831269143218406,3,0.46009181516724706,0.001831269143218406,3,0.8028207798981318,0.0018125095838811953,3,,,0,0.8323168855088606,0.0042915380634285785,3,27.30916666666667,0.218550734003192,3,3,3,0,1.0,True
