dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
adult,1,250,0.5072711719418306,0.6925033662992948,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.18523219435746419
adult,1,500,0.7366449406970705,0.6932687194962402,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.04337622120083029
adult,2,100,0.5224550898203593,0.7006508639103362,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.1781957740899769
adult,2,500,0.7699648571822271,0.7121911088717081,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.05777374831051896
adult,2,50,0.5147562018819504,0.6513261325552367,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.13656993067328638
jannis,0,100,0.324536823636623,0.3261437699956832,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.0016069463590601685
jannis,0,250,0.394840352785283,0.3160331402019545,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.07880721258332851
jannis,0,500,0.3934878192398301,0.3453578010070054,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0481300182328247
jannis,0,50,0.3222732935788394,0.2542285904015391,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.06804470317730027
jannis,1,100,0.3243989623247157,0.2524068541229567,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.071992108201759
jannis,1,250,0.3766800458505838,0.2606100247938382,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.11607002105674558
jannis,1,500,0.3805416692824844,0.2964995020089822,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.08404216727350222
jannis,1,50,0.3418813722584275,0.2510847250525691,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0907966472058584
jannis,2,100,0.320681600003967,0.2511746205769858,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0695069794269812
jannis,2,250,0.3860127214433378,0.2562055549982098,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.12980716644512802
jannis,2,500,0.3829678218732166,0.258595246447909,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.12437257542530761
jannis,2,50,0.3053689846537093,0.2510334769109368,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.054335507742772515
MagicTelescope,0,100,0.6146943726155536,0.6880798591790049,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.07338548656345134
MagicTelescope,0,250,0.773699897075564,0.6893564131379587,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.08434348393760527
MagicTelescope,0,500,0.7937437945293662,0.7173796820616892,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.07636411246767694
MagicTelescope,0,50,0.5681547067017264,0.6565669790768806,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.08841227237515414
MagicTelescope,1,100,0.7067262755538098,0.6988405544099302,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.007885721143879643
MagicTelescope,1,250,0.766599747598733,0.6795931393407744,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.08700660825795858
