dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
spambase,0,250,0.9302704463994786,0.9302704463994786,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,0,500,0.9395124263159452,0.9395124263159452,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,0,50,0.8946577209040553,0.8946577209040553,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,1,100,0.9001155247489558,0.9001155247489558,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,1,250,0.9207100328801208,0.9207100328801208,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,1,500,0.9340027844426672,0.9340027844426672,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,1,50,0.8851639562783258,0.8851639562783258,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,2,100,0.9175923457448384,0.9175923457448384,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,2,250,0.9367576053793064,0.9367576053793064,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,2,500,0.9343508397760598,0.9343508397760598,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,2,50,0.8930137148612223,0.8930137148612223,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
steel-plates-fault,0,100,0.7494337371530354,0.7494337371530354,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
steel-plates-fault,0,250,0.7676077699104014,0.7604281439807756,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0071796259296257325
steel-plates-fault,0,500,0.8264529736020965,0.8242687380845276,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0021842355175688555
steel-plates-fault,0,50,0.6587239839432822,0.6587239839432822,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
steel-plates-fault,1,100,0.5690653238898853,0.5879258168731853,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.01886049298330006
steel-plates-fault,1,250,0.756057129193094,0.7016281030535417,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.05442902613955225
steel-plates-fault,1,500,0.7623302461021758,0.7613257356678409,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0010045104343349154
steel-plates-fault,1,50,0.6201002051879245,0.4831558345812731,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.13694437060665143
steel-plates-fault,2,100,0.6565972398992449,0.6565972398992449,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
steel-plates-fault,2,250,0.776245626762544,0.7735450094785934,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.002700617283950657
steel-plates-fault,2,500,0.7696335659838166,0.7748705723173142,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.005237006333497551
steel-plates-fault,2,50,0.6160974862415964,0.6160974862415964,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
adult,0,100,0.7418800152736801,0.7258629116989506,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.01601710357472952
adult,0,250,0.740804796773602,0.744815778213456,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.004010981439854011
adult,0,500,0.7384809365063633,0.7399080954533634,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.0014271589470001844
adult,0,50,0.5300434081948566,0.5300434081948566,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
adult,1,100,0.7241374854535695,0.7241374854535695,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
adult,1,250,0.7411552407037819,0.7411552407037819,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
adult,1,500,0.7510570300658272,0.7510570300658272,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
adult,1,50,0.7360759189850301,0.7360759189850301,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
adult,2,100,0.7169019133427015,0.7096303384925173,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.007271574850184148
adult,2,250,0.6896493074178076,0.6896493074178076,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
adult,2,500,0.7487358750403916,0.7487358750403916,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
adult,2,50,0.690570960276805,0.690570960276805,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
jannis,0,100,0.4337008175990591,0.4337008175990591,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
jannis,0,250,0.4289284389550473,0.4480791347270969,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.019150695772049586
jannis,0,500,0.4620567609384406,0.4620567609384406,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
jannis,0,50,0.3446541952597528,0.3446541952597528,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
jannis,1,100,0.3892730185250031,0.3892730185250031,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
jannis,1,250,0.4126798170489105,0.4126798170489105,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
jannis,1,500,0.4513168819451932,0.448216171671638,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.003100710273555185
jannis,1,50,0.3739821162823106,0.3739821162823106,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
jannis,2,100,0.3672850068637981,0.3461843238872358,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.021100682976562313
