dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
segment,1,50,0.3744588744588745,0.5909090909090909,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.21645021645021645
segment,2,100,0.5476190476190476,0.5844155844155845,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.03679653679653694
segment,2,250,0.8203463203463203,0.829004329004329,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.008658008658008698
segment,2,500,0.867965367965368,0.8766233766233766,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.008658008658008587
segment,2,50,0.5194805194805194,0.6038961038961039,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.0844155844155845
spambase,0,100,0.8488921472792441,0.8589265084866258,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.010034361207381659
spambase,0,250,0.8912734381942593,0.9084318255872508,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.01715838739299147
spambase,0,500,0.9099573447080778,0.9180885097307384,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.008131165022660647
spambase,0,50,0.5450398412275245,0.8258834681122071,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.2808436268846827
spambase,1,100,0.8797728013270535,0.8683536242187269,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.011419177108326628
spambase,1,250,0.8968645398264167,0.9044477028347996,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.007583163008382909
spambase,1,500,0.9192511626529224,0.917740454397346,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0015107082555764206
spambase,1,50,0.6982656476791373,0.8446710506827809,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.14640540300364357
spambase,2,100,0.8652211262181937,0.87633668058888,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.011115554370686342
spambase,2,250,0.8952723718119613,0.9004487692170977,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.005176397405136424
spambase,2,500,0.9129787612192304,0.8985233567345005,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.014455404484729928
spambase,2,50,0.7388918510619391,0.7942548653692348,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.05536301430729573
steel-plates-fault,0,100,0.262650929317596,0.267032967032967,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.00438203771537099
steel-plates-fault,0,250,0.2965269298602632,0.3034459367792701,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.006919006919006931
steel-plates-fault,0,500,0.5562492349616409,0.4933783634911454,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.06287087147049553
steel-plates-fault,0,50,0.2518925518925519,0.2649165649165649,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.013024013024013015
steel-plates-fault,1,100,0.2436440103106769,0.2612806946140279,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.017636684303351025
steel-plates-fault,1,250,0.2622089411563095,0.295690793936408,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.03348185278009852
steel-plates-fault,1,500,0.5446607972923763,0.3872437504016451,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.15741704689073116
steel-plates-fault,1,50,0.2408221408221408,0.231718898385565,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.009103242436575787
steel-plates-fault,2,100,0.2630229419703104,0.2947632614299281,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.031740319459617694
steel-plates-fault,2,250,0.3651821862348178,0.3277741183442937,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.03740806789052409
steel-plates-fault,2,500,0.4461438496526216,0.5847004760068669,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.13855662635424532
steel-plates-fault,2,50,0.2648622981956315,0.3326995373048005,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.067837239109169
adult,0,100,0.5,0.5056395945636842,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.005639594563684236
adult,0,250,0.7587753439427161,0.7428554563978911,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.015919887544824984
adult,0,500,0.762758409589495,0.7384466892963022,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.02431172029319284
adult,0,50,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
adult,1,100,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
adult,1,250,0.6269515585588727,0.5072711719418306,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.11968038661704217
adult,1,500,0.7384419695127307,0.7366449406970705,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0017970288156601288
adult,1,50,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
adult,2,100,0.649308079728426,0.5224550898203593,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.1268529899080667
adult,2,250,0.704864508252081,0.6547698190331374,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.05009468921894367
adult,2,500,0.7386343870307714,0.7699648571822271,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.031330470151455625
adult,2,50,0.5,0.5147562018819504,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.01475620188195037
jannis,0,100,0.3358759215235119,0.324536823636623,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.011339097886888916
jannis,0,250,0.3616286870712853,0.394840352785283,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.033211665713997696
jannis,0,500,0.3861373111035807,0.3934878192398301,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.007350508136249434
jannis,0,50,0.3223421398977897,0.3222732935788394,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,6.88463189503219e-05
jannis,1,100,0.3320015451852258,0.3243989623247157,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0076025828605100765
jannis,1,250,0.3587592650726635,0.3766800458505838,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.01792078077792031
jannis,1,500,0.3855098887354769,0.3805416692824844,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.004968219452992528
jannis,1,50,0.2871332215542274,0.3418813722584275,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.05474815070420014
jannis,2,100,0.3154774588930695,0.320681600003967,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.005204141110897509
jannis,2,250,0.3299179101096598,0.3860127214433378,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.056094811333677996
jannis,2,500,0.3341130576381658,0.3829678218732166,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.04885476423505081
jannis,2,50,0.2543903479716959,0.3053689846537093,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.05097863668201341
MagicTelescope,0,100,0.5145739910313901,0.7543224626217,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.23974847159030988
