dataset,seed,n_labeled,tabiclv2,tabpfn3,delta_tabpfn3_minus_tabiclv2
satimage,0,100,0.8146906682031702,0.8073272664389567,-0.007363401764213462
satimage,0,250,0.8074365177222985,0.8013395540606655,-0.006096963661633037
satimage,0,500,0.8443023568358116,0.8314301315284233,-0.012872225307388296
satimage,1,50,0.7411433308290762,0.756158076949539,0.015014746120462719
satimage,1,100,0.8131036490380762,0.7877086438664369,-0.025395005171639284
satimage,1,250,0.8186285592229007,0.8053839702256372,-0.01324458899726344
satimage,1,500,0.8765305696963398,0.8640564065377577,-0.012474163158582074
satimage,2,50,0.7542277223196052,0.7683446147947155,0.014116892475110276
satimage,2,100,0.7973359775152454,0.8058759532559643,0.008539975740718853
satimage,2,250,0.839197074299316,0.8114221101075153,-0.0277749641918007
satimage,2,500,0.845369648993923,0.8338814826672691,-0.011488166326653837
segment,0,50,0.8917748917748918,0.8787878787878788,-0.012987012987012991
segment,0,100,0.917748917748918,0.9285714285714286,0.010822510822510623
segment,0,250,0.9437229437229436,0.9567099567099568,0.012987012987013213
segment,0,500,0.9653679653679652,0.974025974025974,0.008658008658008809
segment,1,50,0.9025974025974026,0.9112554112554112,0.008658008658008587
segment,1,100,0.9090909090909092,0.9090909090909092,0.0
segment,1,250,0.9502164502164502,0.9523809523809524,0.0021645021645022577
segment,1,500,0.9610389610389608,0.958874458874459,-0.0021645021645018137
segment,2,50,0.8809523809523808,0.9112554112554112,0.030303030303030387
segment,2,100,0.9285714285714286,0.8939393939393939,-0.03463203463203468
segment,2,250,0.9761904761904764,0.9653679653679654,-0.010822510822510956
segment,2,500,0.9761904761904764,0.9675324675324676,-0.008658008658008809
spambase,0,50,0.897545839627951,0.8946577209040553,-0.0028881187238957162
spambase,0,100,0.9016780710329098,0.9028407239550936,0.001162652922183871
spambase,0,250,0.9378536094078616,0.9302704463994786,-0.007583163008382909
spambase,0,500,0.9372389584999556,0.9395124263159452,0.0022734678159895827
spambase,1,50,0.8785434995112414,0.8851639562783258,0.006620456767084337
spambase,1,100,0.895701886904233,0.9001155247489558,0.0044136378447228175
spambase,1,250,0.92119138600077,0.9207100328801208,-0.0004813531206492305
spambase,1,500,0.9426153025859773,0.9340027844426672,-0.0086125181433101
spambase,2,50,0.8375174027666696,0.8930137148612223,0.055496312094552636
spambase,2,100,0.9216579282561688,0.9175923457448384,-0.004065582511330379
spambase,2,250,0.9258049705263782,0.9367576053793064,0.01095263485292819
spambase,2,500,0.9384830711810184,0.9343508397760598,-0.004132231404958553
steel-plates-fault,0,50,0.6481979318602126,0.6587239839432822,0.01052605208306967
steel-plates-fault,0,100,0.7270328274714241,0.7494337371530354,0.022400909681611347
steel-plates-fault,0,250,0.7810653365477928,0.7604281439807756,-0.020637192567017126
