dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy,ranking_warning
bank-marketing,unlabeled_attention_ssl,250,0.8753363559290795,0.0068179756543848,3,0.6358690818757129,0.12293673840538683,3,0.6203957645775375,0.13259355948332133,3,0.6203957645775375,0.13259355948332133,3,0.8028091621064859,0.02472319710504747,3,0.3987075661641639,0.06636827399377963,3,0.37695736745704655,0.06445779136442668,3,5.497233333333334,0.48485212522307614,3,3,3,0,1.0,True,1.0,
bank-marketing,embedding_alignment_ssl,250,0.883224593608316,0.00038306995633500727,3,0.5528750149441356,0.09158221233420648,3,0.5390481681865772,0.12144213083313896,3,0.5390481681865772,0.12144213083313896,3,0.7376458656136525,0.12209064863879307,3,0.30895554439344897,0.10510188295809404,3,0.42234940396217696,0.13368430806447448,3,3.919366666666667,0.15066188414238463,3,3,3,0,1.0,True,2.0,
bank-marketing,geometric_attention_ssl,250,0.8841829776254193,0.002043039767120167,3,0.519116676313772,0.03311105464730164,3,0.5038266026844153,0.06043658986127948,3,0.5038266026844153,0.06043658986127948,3,0.8346439586827695,0.032600809089647104,3,0.40873147155113965,0.03765816630232875,3,0.2940556153067198,0.020849906032859685,3,11.545,0.32294459277095844,3,3,3,0,1.0,True,3.0,
bank-marketing,unlabeled_attention_ssl,500,0.8793173356924324,0.0015690808104827135,3,0.670921099304422,0.008475781439009593,3,0.6841597761635141,0.0048009652303129475,3,0.6841597761635141,0.0048009652303129475,3,0.8027748547114371,0.02035047271470094,3,0.41938232751558235,0.013549248551312313,3,0.6531883648036979,0.08139287828949321,3,6.975933333333333,0.11172131995878537,3,3,3,0,1.0,True,1.0,
bank-marketing,geometric_attention_ssl,500,0.8890486195584062,0.002877986110205777,3,0.5873307662958154,0.03625333504134764,3,0.611813418038953,0.044643930120200834,3,0.611813418038953,0.044643930120200834,3,0.8694473806629396,0.01891629125735676,3,0.45491451287083157,0.01611229187833178,3,0.2611285224582888,0.008144491532911316,3,14.275233333333333,0.5820230780075075,3,3,3,0,1.0,True,2.0,
bank-marketing,embedding_alignment_ssl,500,0.883630063769398,0.0010853648762825768,3,0.5536512419513747,0.09292667694895168,3,0.540011284140912,0.12311029659962734,3,0.540011284140912,0.12311029659962734,3,0.7277668549134542,0.1379591928634664,3,0.31253685044941854,0.11296047646957669,3,0.42167413602326076,0.12776023447803206,3,3.8145000000000002,0.05804937553497007,3,3,3,0,1.0,True,3.0,
electricity,unlabeled_attention_ssl,50,0.664680569347898,0.020491243831488457,3,0.6597864089474829,0.014216486838207653,3,0.6562292025666786,0.012972085244757188,3,0.6562292025666786,0.012972085244757188,3,0.7333511566733043,0.016786232466429477,3,0.6824954392672508,0.03611935495395314,3,0.6377609701199662,0.03841905912301573,3,4.534199999999999,0.1917725997112205,3,3,3,0,1.0,True,1.0,
electricity,geometric_attention_ssl,50,0.607635440803266,0.03827084521371262,3,0.5531213518629626,0.07023364482801893,3,0.4744223049807417,0.1408097604196047,3,0.4744223049807417,0.1408097604196047,3,0.6992334136629438,0.008233096926382513,3,0.6416201038518498,0.0007398574038436768,3,0.6592786165687651,0.014998793797338488,3,9.4313,0.841208630483544,3,3,3,0,1.0,True,2.0,
electricity,embedding_alignment_ssl,50,0.5770348302622383,0.002822458353444395,3,0.5305732155564371,0.034697243538211776,3,0.46972880236219633,0.08829837409987056,3,0.46972880236219633,0.08829837409987056,3,0.6036926455550616,0.013319972737708428,3,0.5096280705461133,0.0036269303589485605,3,0.6836389898586294,0.00889344979952262,3,3.4489,0.24781361948044725,3,3,3,0,1.0,True,3.0,
electricity,unlabeled_attention_ssl,100,0.6779947772996433,0.08902403693590498,3,0.644822585510505,0.1255653115900035,3,0.6013193264356592,0.20453492613667243,3,0.6013193264356592,0.20453492613667243,3,0.7207599885452235,0.10793407695196269,3,0.6715854973593078,0.1341517215393338,3,0.7147553929095919,0.04638354436429268,3,4.6325,0.14112515721869037,3,3,3,0,1.0,True,1.0,
electricity,geometric_attention_ssl,100,0.6653058222075104,0.05921319337498439,3,0.6292666717163361,0.08848369218805566,3,0.5981301380618017,0.14656443117790466,3,0.5981301380618017,0.14656443117790466,3,0.7422342893819404,0.03740135366808093,3,0.6901184470251348,0.05267811071095838,3,0.6050979241182114,0.059344755604448095,3,10.240033333333335,0.17044548493091088,3,3,3,0,1.0,True,2.0,
electricity,embedding_alignment_ssl,100,0.5964912280701754,0.039332472151332835,3,0.5552453358661412,0.09708727285161621,3,0.4592274407369299,0.15672050550048053,3,0.4592274407369299,0.15672050550048053,3,0.5939277641458849,0.21152362315492654,3,0.5343779430314216,0.18738425410877244,3,0.6659427975554155,0.03797190890503134,3,3.257633333333333,0.20772819580724552,3,3,3,0,1.0,True,3.0,
electricity,unlabeled_attention_ssl,250,0.7440141233587113,0.00823410932662727,3,0.7205931002910869,0.01460305290958228,3,0.7242820338396978,0.0153736566930053,3,0.7242820338396978,0.0153736566930053,3,0.8025393442339751,0.015163148892903289,3,0.7669281228260187,0.013212021035176266,3,0.5755337880580202,0.024014323861456785,3,5.6875,0.15416303058775144,3,3,3,0,1.0,True,1.0,
electricity,geometric_attention_ssl,250,0.7145536797969768,0.030131770505177922,3,0.6941537119389469,0.02583593544913757,3,0.6966499532460319,0.026442848627566178,3,0.6966499532460319,0.026442848627566178,3,0.7801162619954566,0.033608830666887295,3,0.7424043255431623,0.041162275778189594,3,0.5639549504380211,0.025684127918569215,3,11.673233333333334,0.5875263767128529,3,3,3,0,1.0,True,2.0,
electricity,embedding_alignment_ssl,250,0.5976681746294458,0.0385409812269363,3,0.5554278714513613,0.09600388950915437,3,0.4571335103294312,0.15915169997635986,3,0.4571335103294312,0.15915169997635986,3,0.609515778223832,0.22034191161750422,3,0.5500568988478275,0.19296019135664128,3,0.6637065750178466,0.038381519289118815,3,3.319733333333333,0.1697257886513812,3,3,3,0,1.0,True,3.0,
electricity,geometric_attention_ssl,500,0.7538710507926,0.007936978820126202,3,0.7394216567035358,0.010771349602828918,3,0.7422186915445611,0.010056131552495356,3,0.7422186915445611,0.010056131552495356,3,0.8183107078241306,0.005117677021669235,3,0.7848736515468699,0.01023274644917359,3,0.5167066276093587,0.011258591224272073,3,14.691933333333333,0.8036321878405163,3,3,3,0,1.0,True,1.0,
