dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
letter,6,self_training_lr,50,0.33,,1,0.3295163076412413,,1,0.316275063777394,,1,0.316275063777394,,1,0.8258827092509725,,1,,,0,2.607950210571289,,1,0.3096,,1,0.0,,1,0.0,,1
letter,6,self_training_lr,100,0.47125,,1,0.4708906842554367,,1,0.4668558373510401,,1,0.4668558373510401,,1,0.8869802194032388,,1,,,0,2.1768271923065186,,1,0.4341,,1,1527.0,,1,0.0960377358490566,,1
letter,6,self_training_lr,250,0.56475,,1,0.5628001796127,,1,0.5577909254863577,,1,0.5577909254863577,,1,0.934902666260463,,1,,,0,1.6089304685592651,,1,0.5065,,1,1626.0,,1,0.1032380952380952,,1
letter,6,self_training_lr,500,0.67,,1,0.6683295519898486,,1,0.6645690398261034,,1,0.6645690398261034,,1,0.9582740655061036,,1,,,0,1.267796277999878,,1,0.781,,1,2363.0,,1,0.1524516129032258,,1
letter,6,self_training_xgboost,50,0.2595,,1,0.2590574657061826,,1,0.2002224824802964,,1,0.2002224824802964,,1,0.7350417974177756,,1,,,0,2.760589838027954,,1,60.5946,,1,0.0,,1,0.0,,1
letter,6,self_training_xgboost,100,0.4445,,1,0.444857887796205,,1,0.4377306926527173,,1,0.4377306926527173,,1,0.8770775049771771,,1,,,0,2.115744113922119,,1,145.6193,,1,1265.0,,1,0.0795597484276729,,1
letter,6,self_training_xgboost,250,0.586,,1,0.5844984405671741,,1,0.5788326715217864,,1,0.5788326715217864,,1,0.921998183326462,,1,,,0,1.7474584579467771,,1,209.8916,,1,5295.0,,1,0.3361904761904762,,1
letter,6,self_training_xgboost,500,0.705,,1,0.7043890764722391,,1,0.702437665449242,,1,0.702437665449242,,1,0.9600739905416544,,1,,,0,1.2238432168960571,,1,208.5153,,1,6000.0,,1,0.3870967741935484,,1
letter,6,xgboost,50,0.2595,,1,0.2590574657061826,,1,0.2002224824802964,,1,0.2002224824802964,,1,0.7350417974177756,,1,,,0,2.760589838027954,,1,25.9089,,1,,,0,,,0
letter,6,xgboost,100,0.48375,,1,0.4835893542361945,,1,0.4772335240336611,,1,0.4772335240336611,,1,0.892515533232859,,1,,,0,1.9306379556655884,,1,25.2933,,1,,,0,,,0
