method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
label_spreading,250,0.7443405207005617,0.12927664179908233,3,0.7204716807421185,0.12082043986881244,3,0.7245006839847424,0.12011978930341347,3,0.7245006839847424,0.12011978930341347,3,0.9073243690340463,0.0529955670917371,3,0.7611977245316941,0.17877292521496171,2,0.8959165070402566,0.5711809540809378,3,5.7455,3.7621849010913855,3,,,0,,,0
label_spreading,500,0.7755254948183726,0.09234729374388173,3,0.7505110745975693,0.08428386067978323,3,0.7552841507388797,0.08631932714961149,3,0.7552841507388797,0.08631932714961149,3,0.9250503563320822,0.05155454489857817,3,0.8061523479917077,0.13379662077566484,2,0.6917191796417866,0.4281199220268557,3,5.3562,3.77261068624898,3,,,0,,,0
lightgbm,50,0.5507491020499176,0.331296603222257,3,0.47067180786399554,0.2864709201032165,3,0.4396623097229988,0.29850259213614583,3,0.4396623097229988,0.29850259213614583,3,0.6858247816832407,0.1694376896005668,3,0.5059417037673307,0.30079574387040675,2,1.6250599608174732,1.8602145558182441,3,5.011833333333333,3.623719583981814,3,,,0,,,0
lightgbm,100,0.6943301876621927,0.18191896913249642,3,0.6697484319976911,0.17022760139268214,3,0.6700855107266278,0.17276888915502875,3,0.6700855107266278,0.17276888915502875,3,0.8633078938402642,0.053791631124235836,3,0.723906795647536,0.21228431607683326,2,1.3250489707588158,1.2486969051329688,3,9.279566666666666,10.251200484008365,3,,,0,,,0
lightgbm,250,0.7725525648159587,0.14524729913573267,3,0.7546082351537325,0.13963092791669032,3,0.7555735241708647,0.1427698553504062,3,0.7555735241708647,0.1427698553504062,3,0.9180005443868119,0.05956882329948502,3,0.805736416379132,0.20381944768861193,2,1.068273670115774,0.8002406810663255,3,14.7376,12.406244049268095,3,,,0,,,0
lightgbm,500,0.8336482942631301,0.10701819779342406,3,0.8197619298546995,0.11155948047810833,3,0.8199295313846718,0.10830337461260958,3,0.8199295313846718,0.10830337461260958,3,0.9454679757685942,0.052055679790105155,3,0.85762532072222,0.15482132848924704,2,0.7977220854540915,0.5827195776867304,3,27.4435,31.41269995670541,3,,,0,,,0
logistic_regression,50,0.6454872751902284,0.2851670819836292,3,0.5924368536300998,0.27770414076250866,3,0.5836750475370748,0.28313670619434206,3,0.5836750475370748,0.28313670619434206,3,0.8411341951650563,0.0927151399174524,3,0.7027115965005893,0.2647425471852405,2,1.1611093481381733,1.2565884302169972,3,0.2842,0.1829616626509499,3,,,0,,,0
logistic_regression,100,0.7207632414156541,0.19889976052867164,3,0.6929875436560685,0.20122105103058635,3,0.6913267348473274,0.20242724545653165,3,0.6913267348473274,0.20242724545653165,3,0.881120299000878,0.08218343059243809,3,0.7074474359127052,0.23162693343728294,2,0.9053614735603333,0.8199357124380365,3,0.21876666666666666,0.1604447049089914,3,,,0,,,0
logistic_regression,250,0.7513871505753812,0.16551072698210978,3,0.7164109039735703,0.17707429683543388,3,0.7200265287560947,0.17616409228762583,3,0.7200265287560947,0.17616409228762583,3,0.9014716101792044,0.08595736507661172,3,0.7456371368420555,0.2328331158095683,2,0.7594712177912394,0.6476012734187855,3,0.2412,0.13070719184497845,3,,,0,,,0
logistic_regression,500,0.7790669089156532,0.12257073470969986,3,0.7487551378436695,0.14385741590390164,3,0.7510019916146732,0.14033390703223064,3,0.7510019916146732,0.14033390703223064,3,0.9055575813230189,0.09431678808314585,3,0.730488065428973,0.24446247672769192,2,0.6731002330780029,0.48961497143511257,3,0.25120000000000003,0.21663215366145444,3,,,0,,,0
mlp,50,0.4745541147173081,0.36528700229617045,3,0.4028713314110317,0.31161217358657556,3,0.3653409119213689,0.3138538559803134,3,0.3653409119213689,0.3138538559803134,3,0.647370966654822,0.1016670384591244,3,0.54645693015176,0.09665231096194456,2,1.5161230564117432,1.527588693312746,3,0.29173333333333334,0.10528140069990204,3,,,0,,,0
mlp,100,0.5800209704155246,0.35801265035582025,3,0.5193826768076689,0.3274327125803,3,0.5083969594415946,0.3507700645835789,3,0.5083969594415946,0.3507700645835789,3,0.8135034677647744,0.1120966285871071,3,0.7157360134929032,0.2181118107505971,2,1.349646915992101,1.5098020289687983,3,0.36956666666666665,0.13222345984481473,3,,,0,,,0
mlp,250,0.5975285306730976,0.34448990886143627,3,0.5323420069263868,0.3121943579262045,3,0.5157020275547236,0.3432429037976613,3,0.5157020275547236,0.3432429037976613,3,0.8390122248084545,0.09345190874549042,3,0.756023640303729,0.23903409904288328,2,1.3099193572998047,1.4553158997456026,3,0.39936666666666665,0.1656217779560808,3,,,0,,,0
mlp,500,0.7342542617474269,0.18765583940313302,3,0.7088491596435774,0.18041425185167517,3,0.707134167164576,0.1911618251404752,3,0.707134167164576,0.1911618251404752,3,0.9031348618651007,0.07625320167630345,3,0.7511304656548388,0.23302739904203768,2,0.8560770452022552,0.8101311961223898,3,0.6568666666666667,0.179079097980008,3,,,0,,,0
