method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
self_training_catboost,50,0.7412220524970192,0.10863548337368158,30,0.670233248908458,0.14157772171695077,30,0.6710625422908623,0.14340492345278189,30,0.6710625422908623,0.14340492345278189,30,0.8253696668512289,0.10517049473276015,30,0.6179630325660643,0.2021818891038162,18,0.7290650846927309,0.28965132914502806,30,2.91336,2.05270234478257,30,341.3666666666667,555.5500215433185,30,0.04251653820162519,0.11185906141722081,30
self_training_catboost,100,0.7740743441190047,0.10820759650500739,30,0.7008112124685473,0.14451392250293454,30,0.705846857070933,0.1435178026438335,30,0.705846857070933,0.1435178026438335,30,0.8647673297243,0.08029434319189135,30,0.692817998496442,0.16504015530185545,18,0.6088351881231169,0.2776123281477175,30,3.8679699999999997,1.797743074188607,30,355.53333333333336,578.6249892295696,30,0.04560452150553573,0.12072125168147974,30
self_training_catboost,250,0.8069185870864305,0.10120683022601376,30,0.7310319803859865,0.14377331510429278,30,0.7433895100668823,0.1406725542724532,30,0.7433895100668823,0.1406725542724532,30,0.8908963207363685,0.07381063737946017,30,0.743319664403427,0.15700175166594385,18,0.49383964242320033,0.2428566305716117,30,6.2587633333333335,3.195210869139057,30,491.76666666666665,563.025367428339,30,0.0767428506042213,0.12521482950551777,30
self_training_catboost,500,0.8247153000135794,0.09673297695779236,30,0.7538854850001088,0.14193025571384915,30,0.7669048008645692,0.13865446495138628,30,0.7669048008645692,0.13865446495138628,30,0.9055114108466166,0.06865229097362839,30,0.7741678207377408,0.14465984091460793,18,0.4378445952006437,0.22747497569171876,30,8.58199,5.464717108831136,30,581.3,542.9707650731647,30,0.1287062093588527,0.13611011760888958,30
self_training_lightgbm,50,0.6116414930553217,0.18159068494814232,30,0.45825222049771386,0.1475722853596613,30,0.3996747824647599,0.1545399576710902,30,0.3996747824647599,0.1545399576710902,30,0.6288959244302358,0.14110716420017194,30,0.35773737464245847,0.17870247193466393,18,1.035137628749363,0.7622150204108213,30,2.4933400000000003,5.0953420100837326,30,192.1,743.3933543625103,30,0.017186023705689554,0.08505721028660293,30
self_training_lightgbm,100,0.7448771795611088,0.12492380018140863,30,0.7021396424144893,0.13851850090005188,30,0.6960531126108618,0.14541733137816407,30,0.6960531126108618,0.14541733137816407,30,0.837766625947052,0.09801586726735206,30,0.6560209128023052,0.21986888999335763,18,1.915976224941282,1.1329153550855464,30,17.658953333333333,9.019963542656397,30,2523.0333333333333,1308.3642191244214,30,0.29583659529906414,0.19766319648792388,30
self_training_lightgbm,250,0.7956247993794222,0.11240249615825391,30,0.7586830300709173,0.12932538515575245,30,0.7531276496725767,0.13637077383782495,30,0.7531276496725767,0.13637077383782495,30,0.8805539734437811,0.0802623572759923,30,0.7255773906786308,0.17067831943815684,18,1.374056266666158,0.8486044840295903,30,22.212843333333335,10.208695346232808,30,2482.366666666667,1313.9797532511766,30,0.2967325410554654,0.19806575823514838,30
self_training_lightgbm,500,0.8222343371801735,0.10539044132878907,30,0.779144778046176,0.1342063158482321,30,0.7797278442962452,0.13685811589868566,30,0.7797278442962452,0.13685811589868566,30,0.900305439180115,0.07491661827959098,30,0.7624908620595015,0.16213193003378762,18,1.0934590370948232,0.7133468874289511,30,25.899483333333333,11.845396919248431,30,2381.4666666666667,1273.3193854926046,30,0.296716687716433,0.19840618635085883,30
self_training_lr,50,0.7132021032809568,0.12068890621599282,30,0.675619649891897,0.13279495953965512,30,0.6588299342023198,0.13525036052566503,30,0.6588299342023198,0.13525036052566503,30,0.8240411915365269,0.0981881995253557,30,0.6166444311394632,0.1811241761846114,18,1.0988570501406987,0.743150569377479,30,0.59318,0.4089673095442496,30,3551.4333333333334,2335.582282611892,30,0.3067726827306236,0.1594265233825088,30
self_training_lr,100,0.7365553275086697,0.1351767970737668,30,0.7060680155987077,0.1371717181312257,30,0.6912381158469002,0.14537869654597874,30,0.6912381158469002,0.14537869654597874,30,0.8381658107936579,0.1005568112611232,30,0.6516670875641031,0.16802586945934794,18,1.0243379761775335,0.8849504225597545,30,0.6089800000000001,0.3908676267679026,30,3626.266666666667,2631.63286053425,30,0.2963398805237285,0.15944246614196186,30
self_training_lr,250,0.7644216271137153,0.1283553496659282,30,0.7219171808606574,0.14453750269637258,30,0.7156042428553487,0.1474167147947959,30,0.7156042428553487,0.1474167147947959,30,0.8556536047124353,0.09990853810681144,30,0.6789065001679643,0.1582541938764473,18,0.7734559019406636,0.6522101960709866,30,0.6845233333333333,0.4477786150068707,30,3492.9,2577.200035724416,30,0.29694813592576086,0.16567791917170632,30
self_training_lr,500,0.7807861305187351,0.11818091654038142,30,0.7297469241343376,0.1384807344064384,30,0.7300993304666313,0.14066006814137436,30,0.7300993304666313,0.14066006814137436,30,0.8708031674489441,0.08893650967362708,30,0.6989374061549488,0.15745270378629997,18,0.61609954337279,0.4260340752583386,30,0.7034699999999999,0.4527823799042141,30,3206.4,2310.9917053224067,30,0.28499900091255653,0.16495013361871505,30
self_training_xgboost,50,0.7114876501370592,0.10534784473984744,30,0.6483815636153458,0.128862808820604,30,0.6460853540786159,0.13075046575237187,30,0.6460853540786159,0.13075046575237187,30,0.7925532388156478,0.1085194791319368,30,0.5920247111554194,0.22081753707525223,18,1.1789125978946686,0.5213220992597257,30,8.88716,6.239520014397659,30,2179.5,1081.9499239479774,30,0.2364250919595737,0.1665696598193901,30
self_training_xgboost,100,0.7428123114936211,0.10637604612191628,30,0.6969110030443519,0.13104699902290703,30,0.6920302448578556,0.13460325159536835,30,0.6920302448578556,0.13460325159536835,30,0.8283858868674475,0.09678913184880125,30,0.6388440626891156,0.22200709935784513,18,1.0299663911263148,0.5271805264123993,30,11.575476666666667,8.606763156786817,30,2383.1,1063.940021319584,30,0.2875116545756337,0.19529156294964667,30
self_training_xgboost,250,0.792084233665901,0.09871674966107485,30,0.7471644077043743,0.12717449576138534,30,0.7449975003216313,0.13022935933415813,30,0.7449975003216313,0.13022935933415813,30,0.8764602396989221,0.07894943357453323,30,0.7128443907736325,0.17439040019798008,18,0.7425000493725141,0.4213950693351924,30,14.772643333333333,11.053493205120438,30,2354.9666666666667,1117.3311639281605,30,0.2920751624493079,0.19869660911083656,30
self_training_xgboost,500,0.8211737291060912,0.09834396320930403,30,0.7731557314631374,0.13346839685843664,30,0.7751183972017373,0.13443400314203757,30,0.7751183972017373,0.13443400314203757,30,0.8988161137565532,0.07264922248359847,30,0.757076294587285,0.1617353612178514,18,0.5896339031557242,0.3683328814203665,30,18.11732,14.85517283719831,30,2309.4666666666667,1166.7157480644585,30,0.29464316324477047,0.19937348403278035,30
sslae,50,0.7154047541737618,0.13622614708739578,30,0.6295931709799628,0.15962656067971365,30,0.6228100945177305,0.1713999827541219,30,0.6228100945177305,0.1713999827541219,30,0.8136836296230393,0.09695954763325666,30,0.6237370211330561,0.17651925810417096,18,0.7135023910205174,0.33969121849139083,30,43.32165,45.7280383420527,30,,,0,,,0
sslae,100,0.7545113119513449,0.11539490309711979,30,0.6800003599311655,0.14515622107458725,30,0.6759142295437904,0.1531924757136515,30,0.6759142295437904,0.1531924757136515,30,0.8362528895040264,0.09658506601720007,30,0.6464887478115822,0.17744195328644846,18,0.6333645218341377,0.2751390210272018,30,53.02648,66.56110965479405,30,,,0,,,0
sslae,250,0.7861259895613558,0.11271342825968883,30,0.7227219564172409,0.1506913672176975,30,0.7231157765065028,0.1483594292362465,30,0.7231157765065028,0.1483594292362465,30,0.8704584580147899,0.08596056832482923,30,0.7038956886343453,0.1606411814527336,18,0.5251961323406713,0.2612660920192565,30,74.62857666666667,93.4538854226739,30,,,0,,,0
