dataset,method,n_labeled,pseudo_label_fraction,pseudo_label_fraction,pseudo_label_fraction,n_pseudo_added_total,n_pseudo_added_total,n_pseudo_added_total,runtime_seconds,runtime_seconds,runtime_seconds
,,,mean,std,count,mean,std,count,mean,std,count
electricity,self_training_xgboost,500,0.0839184312847911,0.0,3,3000.0,0.0,3,11.884666666666666,0.827898594837153,3
jannis,rpl_lite_xgboost,50,0.06528126369467346,0.0017287649075896192,3,4369.666666666667,115.71660785441887,3,39.760266666666666,0.28441118707486435,3
jannis,rpl_lite_xgboost,100,0.06665071913404894,0.001192696269783127,3,4458.0,79.77468270071653,3,46.09826666666667,0.5672782768036663,3
jannis,rpl_lite_xgboost,250,0.06751977942939337,0.00013063111194978508,3,4506.0,8.717797887081348,3,55.634433333333334,2.77940541543211,3
jannis,rpl_lite_xgboost,500,0.06768342207382,0.0,3,4500.0,0.0,3,64.46196666666667,4.6236120580487015,3
jannis,rpl_lr,50,,,0,,,0,2.6155666666666666,0.10474494418984319,3
jannis,rpl_lr,100,,,0,,,0,2.964033333333333,0.25784511500769836,3
jannis,rpl_lr,250,,,0,,,0,3.1329333333333333,0.14078942905393635,3
jannis,rpl_lr,500,,,0,,,0,3.062666666666667,0.10535873638827199,3
jannis,self_training_catboost,50,0.0,0.0,3,0.0,0.0,3,3.840066666666667,0.2674771267479397,3
jannis,self_training_catboost,100,0.0,0.0,3,0.0,0.0,3,5.740833333333334,0.16748732290335727,3
jannis,self_training_catboost,250,0.0,0.0,3,0.0,0.0,3,9.7032,0.5384235971797678,3
jannis,self_training_catboost,500,0.0,0.0,3,0.0,0.0,3,11.601999999999999,0.6957691643066686,3
jannis,self_training_lightgbm,50,0.016906696944344834,0.029283258095774735,3,1131.6666666666667,1960.1041638987795,3,10.0871,11.038221086751252,3
jannis,self_training_lightgbm,100,0.08189556359576987,0.003907638099700108,3,5477.666666666667,261.3662819365445,3,35.92856666666666,0.8629689469113814,3
jannis,self_training_lightgbm,250,0.0802215695676496,0.007525733152992454,3,5353.666666666667,502.23732769810476,3,40.7525,3.611156838189116,3
jannis,self_training_lightgbm,500,0.07452195449668597,0.005966279962193521,3,4954.666666666667,396.6740895664014,3,47.571666666666665,2.1275259489212672,3
jannis,self_training_lr,50,0.12218138719572923,0.010384012573411287,3,8178.333333333333,695.0642656138592,3,1.5442,0.09466419597714854,3
