dataset,ssl_method,supervised_method,n_labeled,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_roc_auc_mean,delta_roc_auc_std,runtime_ratio_ssl_over_sup_mean,pseudo_label_fraction_mean,n_paired_seeds,n_expected_seeds,pair_complete,comparison_warning
adult,self_training_xgboost,xgboost,100,0.007369836523197115,0.0015182087131592067,-0.007268840718501646,0.006088001469366155,-0.009708834632866314,0.007412151193319691,3.3087661207780297,0.0769763682549457,3,3,True,
adult,self_training_xgboost,xgboost,250,0.01577425536108897,0.007442106303617084,0.006319461051551604,0.0036702007945480612,-0.0009378651237041588,0.004292834710707968,3.0557879976625393,0.0772737810061046,3,3,True,
adult,self_training_xgboost,xgboost,500,0.023215416255940036,0.011020884438476191,0.014273680034747346,0.010282783563904774,0.004336723250732126,0.00321070523833187,2.956290766407179,0.0777746091825888,3,3,True,
bank-marketing,rpl_lite_xgboost,xgboost,50,0.009826020669662983,0.012433688087346852,-0.005541101889013429,0.031211056576982164,-0.007117492273438016,0.006248047482111481,4.9059451565631935,0.07664691658822008,3,3,True,
bank-marketing,rpl_lite_xgboost,xgboost,100,0.027784847060828843,0.024554239484621255,-0.007085460764468661,0.01770353404872367,-0.02575794880050371,0.02256115870148609,6.102657724226112,0.08178995231229894,3,3,True,
bank-marketing,rpl_lite_xgboost,xgboost,250,0.1136854941073745,0.027769338164652317,0.04872735018397523,0.01219971560183341,0.006892945539427024,0.00619705646192945,5.645083475029904,0.0798299831096757,3,3,True,
bank-marketing,rpl_lite_xgboost,xgboost,500,0.08547165664669776,0.006211257312139781,0.043455405364255996,0.011444066464724463,-2.2687466535997736e-05,0.005204789038721669,4.888683224663286,0.08390340548016896,3,3,True,
bank-marketing,rpl_lr,logistic_regression,50,-0.036134781701196994,0.00705488524867895,-0.03349290620152708,0.02566087832771011,0.007288180934715653,0.014290750892055504,1.375326483904838,,3,3,True,
bank-marketing,rpl_lr,logistic_regression,100,-0.0437367204339895,0.01591934570448313,-0.03855125164672013,0.018146203917584286,0.01229053056711967,0.01539466810069385,1.3825226132682682,,3,3,True,
bank-marketing,rpl_lr,logistic_regression,250,-0.04077864963410046,0.018847750982709095,-0.046579928403276516,0.036322414148429266,0.008543152942327659,0.013524321504655913,1.2783476164490917,,3,3,True,
bank-marketing,rpl_lr,logistic_regression,500,-0.03912183327355686,0.012196460523069181,-0.03805378534511461,0.012990832441047689,0.0045592930033038215,0.0031586592136951643,1.596987448102438,,3,3,True,
bank-marketing,self_training_catboost,catboost,50,-0.0039521566705689555,0.018673039864913595,-0.005638941428160312,0.023951477594076613,0.008053419316858657,0.0313699958625166,0.939021225115218,0.02078372741200137,3,3,True,
bank-marketing,self_training_catboost,catboost,100,-0.01750046065421181,0.004933427064559888,-0.012603897912650708,0.012029747282579481,0.021104986152754135,0.018516506558936743,1.3987140138220335,0.020969649920520434,3,3,True,
bank-marketing,self_training_catboost,catboost,250,0.005803789319845524,0.004724230138977652,0.0075830875054446745,0.0042047391593270375,0.011475281117438563,0.008745176046133833,1.325534231867651,0.021679009595931432,3,3,True,
bank-marketing,self_training_catboost,catboost,500,-0.0002642793927965699,0.012830236680218562,0.002180663779674852,0.012758216785260575,0.009494566647688144,0.00305637084435995,1.4568372649347276,0.02170946880490447,3,3,True,
bank-marketing,self_training_lightgbm,lightgbm,50,0.0,0.0,0.0,0.0,0.0,0.0,0.5435969859995081,0.0,3,3,True,
bank-marketing,self_training_lightgbm,lightgbm,100,0.027972087708561928,0.0022743917528881656,0.005029337886654606,0.016339183058548177,0.0447629238659916,0.006790612495943549,7.522798935252524,0.08248308750138623,3,3,True,
bank-marketing,self_training_lightgbm,lightgbm,250,0.11869176965790063,0.02643073223315086,0.04891404619829609,0.01216297414514076,0.02322902622631688,0.009889728838841727,3.7371752367931124,0.0835235814911743,3,3,True,
bank-marketing,self_training_lightgbm,lightgbm,500,0.09971196781615188,0.027354512177390662,0.055805762454346354,0.022336847871411925,0.02084492860155644,0.00565686308502908,2.757984973260605,0.084109005270831,3,3,True,
bank-marketing,self_training_lr,logistic_regression,50,0.10187041392592207,0.061409444628282975,0.004617813058440705,0.05702662747502544,0.010170613693996966,0.0588472376851084,0.8899875341697933,0.13225169352308172,3,3,True,
bank-marketing,self_training_lr,logistic_regression,100,0.09325560804580428,0.020059753268698452,0.0072326340982334925,0.01664567641243755,0.014705976352163233,0.02454365766415035,1.0880307311366904,0.13398765295183168,3,3,True,
bank-marketing,self_training_lr,logistic_regression,250,0.08971446935594034,0.006353182837298205,0.03436771304745404,0.029183203514920923,0.0069449097019103805,0.016676795635063666,0.9789967912718494,0.11715574363828718,3,3,True,
bank-marketing,self_training_lr,logistic_regression,500,0.06698354152536312,0.002422097245966399,0.030610251021415902,0.010236143556876801,0.0022366685487400137,0.006515715933942484,0.8700787908213211,0.10382789428432576,3,3,True,
bank-marketing,self_training_xgboost,xgboost,50,0.002942682779108141,0.018640179907992493,-0.009944952327897716,0.032112618302262017,-0.011373029692172501,0.020936248449204088,1.2982685019508233,0.06630119792531884,3,3,True,
bank-marketing,self_training_xgboost,xgboost,100,0.024305378823479235,0.017735870060634512,-0.007752645105585709,0.017564303674417796,-0.027220264524022857,0.02564633979659974,2.1569052039087193,0.07959964511478314,3,3,True,
