timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-29T09:24:08.340694+00:00,phoneme,1489,self_training_xgboost,0,50,4273,40,10,1081,2,5,5,1631.0,589.0,3.0,"{0: 1528, 1: 143}",0.3816990404867774,0.9941809342581388,0.9505071640014648,0.9998363256454468,,max_iter,,,,,stratified_labeled_val,2,True,15,35,16.4553,success,,0.7409805735430157,0.6349550762217782,0.645507355007964,1.070950627326965,0.741876145804086,0.5273529978982499
2026-06-29T09:24:24.803502+00:00,phoneme,1489,self_training_xgboost,0,100,4223,80,20,1081,2,5,5,1948.0,569.0,3.0,"{0: 1556, 1: 472}",0.4612834477859341,0.9949816970242612,0.9501196146011353,0.999845564365387,,max_iter,,,,,stratified_labeled_val,2,True,30,70,11.5329,success,,0.7650323774283071,0.7156465225362115,0.71604409696368,0.8420788645744324,0.819437792128429,0.5907771194176744
2026-06-29T09:24:36.346386+00:00,phoneme,1489,self_training_xgboost,0,250,4073,200,50,1081,2,5,5,1989.0,522.0,3.0,"{0: 1641, 1: 548}",0.4883378345200098,0.9965423173854074,0.9678768515586852,0.999868392944336,,max_iter,,,,,stratified_labeled_val,2,True,74,176,18.9602,success,,0.790009250693802,0.7619246205427188,0.753915350017299,0.7719103097915649,0.8481551521958148,0.6470559577836558
2026-06-29T09:24:55.317381+00:00,phoneme,1489,self_training_xgboost,0,500,3823,400,100,1081,2,5,5,1867.0,490.0,3.0,"{0: 1761, 1: 506}",0.4883599267590897,0.9959541591783226,0.9687668085098268,0.999881386756897,,max_iter,,,,,stratified_labeled_val,2,True,147,353,17.1955,success,,0.8233117483811286,0.7882533403802006,0.7874555421159637,0.537536084651947,0.8853948172494096,0.7364058933853442
2026-06-29T09:25:12.524102+00:00,phoneme,1489,self_training_lightgbm,0,50,4273,40,10,1081,2,5,5,0.0,0.0,0.0,"{0: 28, 1: 12}",0.0,,,,,no_candidates,,,,,stratified_labeled_val,2,True,15,35,0.6965,success,,0.7067530064754857,0.5,0.4140921409214092,0.6051424941170336,0.5,0.2932469935245143
2026-06-29T09:25:13.225623+00:00,phoneme,1489,self_training_lightgbm,0,100,4223,80,20,1081,2,5,5,2015.0,552.0,3.0,"{0: 1547, 1: 548}",0.477148946246744,0.9966139250106084,0.9502845908295814,0.999999996495946,,max_iter,,,,,stratified_labeled_val,2,True,30,70,22.0287,success,,0.7770582793709528,0.7370740912018763,0.7342178421860733,1.658255130847138,0.8414620047236032,0.615274293177774
2026-06-29T09:25:35.262647+00:00,phoneme,1489,self_training_lightgbm,0,250,4073,200,50,1081,2,5,5,1989.0,522.0,3.0,"{0: 1641, 1: 548}",0.4883378345200098,0.9998489247224462,0.9970146903846144,0.9999999995071382,,max_iter,,,,,stratified_labeled_val,2,True,74,176,24.5888,success,,0.8029602220166513,0.7683184137942425,0.7650970970358242,1.4108067571917762,0.867066080895833,0.6722101204542068
2026-06-29T09:25:59.860123+00:00,phoneme,1489,self_training_lightgbm,0,500,3823,400,100,1081,2,5,5,1867.0,490.0,3.0,"{0: 1731, 1: 536}",0.4883599267590897,0.9999136383048232,0.9980124797797998,0.999999999311683,,max_iter,,,,,stratified_labeled_val,2,True,147,353,31.4176,success,,0.8316373728029602,0.7941433927362214,0.7957735075029688,1.0495740840729506,0.893479445719854,0.7587001593654432
2026-06-29T09:26:31.286325+00:00,phoneme,1489,self_training_catboost,0,50,4273,40,10,1081,2,5,5,0.0,0.0,0.0,"{0: 28, 1: 12}",0.0,,,,,no_candidates,,,,,stratified_labeled_val,2,True,15,35,0.7611,success,,0.7382053654024052,0.5988467636711976,0.6022516144718041,0.4899920431601623,0.8078249128775992,0.6048392223626845
2026-06-29T09:26:32.053739+00:00,phoneme,1489,self_training_catboost,0,100,4223,80,20,1081,2,5,5,0.0,0.0,0.0,"{0: 56, 1: 24}",0.0,,,,,min_added_fraction,,,,,stratified_labeled_val,2,True,30,70,0.8791,success,,0.7493061979648473,0.643613638991197,0.6555402044763747,0.4566050370197372,0.8356049845574512,0.5918052754718709
2026-06-29T09:26:32.938724+00:00,phoneme,1489,self_training_catboost,0,250,4073,200,50,1081,2,5,5,750.0,250.0,3.0,"{0: 891, 1: 59}",0.1841394549472133,0.9848340570039013,0.974302525346391,0.9936579066854496,,max_iter,,,,,stratified_labeled_val,2,True,74,176,2.9857,success,,0.7844588344125809,0.7155474259666045,0.7257961093492975,0.4213471282112843,0.8594851933208912,0.645258756321203
2026-06-29T09:26:35.931639+00:00,phoneme,1489,self_training_catboost,0,500,3823,400,100,1081,2,5,5,750.0,250.0,3.0,"{0: 1032, 1: 118}",0.1961810096782631,0.9807408207268966,0.9745227426765932,0.9921338799567566,,max_iter,,,,,stratified_labeled_val,2,True,147,353,3.528,success,,0.8075855689176689,0.7411370505557666,0.7538706739526411,0.3884141561491449,0.8790691528894907,0.7303413443830136
2026-06-29T09:26:39.466835+00:00,phoneme,1489,rpl_lr,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,0.3402,success,,0.7058279370952821,0.5085739177828794,0.4424147461849891,1.8068393468856807,0.7249616000792773,0.4964536924138139
2026-06-29T09:26:39.817396+00:00,phoneme,1489,rpl_lr,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,0.3064,success,,0.7548566142460684,0.6743026078913902,0.6839589283960914,1.2010596990585327,0.7915008175466992,0.5518381916004673
2026-06-29T09:26:40.134453+00:00,phoneme,1489,rpl_lr,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,0.3023,success,,0.7400555041628122,0.6370691363733959,0.6474638627276894,0.8102508783340454,0.8030249227872562,0.591431136478525
