timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision,best_epoch,best_val_loss,epochs_trained,final_train_loss,finetune_epochs_trained,neural_method,neural_validation_strategy,pretrain_epochs_trained,method_fidelity,reference_family,labeled_class_counts,test_class_counts,train_pool_class_counts,unlabeled_class_counts,val_class_counts
2026-06-29T11:17:42.187234+00:00,phoneme,1489,xgboost,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,0.9112,success,,0.793709528214616,0.7433171750871224,0.7471185871714581,0.5339430570602417,0.8572018431961947,0.6652710939969073,,,,,,,,,,,,,,,
2026-06-29T11:17:43.105830+00:00,phoneme,1489,xgboost,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,1.3114,success,,0.8279370952821462,0.7859885708623053,0.7896887159533074,0.4273487329483032,0.8899986787124052,0.7472636467802053,,,,,,,,,,,,,,,
2026-06-29T11:17:44.431645+00:00,phoneme,1489,xgboost,1,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,2.1076,success,,0.7446808510638298,0.6975572695591854,0.6953486852316263,0.620797872543335,0.7815560638842551,0.5156570162605432,,,,,,,,,,,,,,,
2026-06-29T11:17:46.553233+00:00,phoneme,1489,xgboost,1,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,1.6553,success,,0.7585568917668826,0.7036826762680232,0.7057343733866501,0.673229455947876,0.8120860653707037,0.5458235649329903,,,,,,,,,,,,,,,
2026-06-29T11:17:48.220508+00:00,phoneme,1489,xgboost,1,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,1.1153,success,,0.8011100832562442,0.7365558987233058,0.7475278554179698,0.4870092868804931,0.8681189819479083,0.6953111528673974,,,,,,,,,,,,,,,
2026-06-29T11:17:49.343267+00:00,phoneme,1489,xgboost,1,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,1.7938,success,,0.8353376503237743,0.7930698465654781,0.7979515633137884,0.4306551516056061,0.897645630667085,0.7701586913295899,,,,,,,,,,,,,,,
2026-06-29T11:17:51.162733+00:00,phoneme,1489,xgboost,2,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,0.6276,success,,0.7465309898242368,0.7136315589542008,0.7051434692236018,0.6212489008903503,0.8223260442301022,0.606971559230674,,,,,,,,,,,,,,,
2026-06-29T11:17:51.798259+00:00,phoneme,1489,xgboost,2,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,0.616,success,,0.786308973172988,0.7316217153616199,0.7364975450081833,0.5093028545379639,0.8382991725436438,0.6818048318456955,,,,,,,,,,,,,,,
2026-06-29T11:17:52.446077+00:00,phoneme,1489,xgboost,2,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,1.3005,success,,0.8103607770582794,0.7689398318661536,0.7701805638953101,0.5082789659500122,0.8692709795695905,0.7209928149713579,,,,,,,,,,,,,,,
2026-06-29T11:17:53.753173+00:00,phoneme,1489,xgboost,2,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,2.3011,success,,0.8344125809435707,0.7878012122813682,0.7949972719134217,0.4337817728519439,0.9016672997836392,0.7499272185154656,,,,,,,,,,,,,,,
2026-06-29T11:17:56.064379+00:00,phoneme,1489,lightgbm,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,1.0459,success,,0.7067530064754857,0.5,0.4140921409214092,0.6051424941170336,0.5,0.2932469935245143,,,,,,,,,,,,,,,
2026-06-29T11:17:57.117598+00:00,phoneme,1489,lightgbm,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,0.7736,success,,0.7659574468085106,0.6978442367086726,0.7054340462334983,0.6489962353223561,0.8015632483855517,0.5737991162100589,,,,,,,,,,,,,,,
2026-06-29T11:17:57.897572+00:00,phoneme,1489,lightgbm,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,1.815,success,,0.7927844588344126,0.7500454192610699,0.7500454192610699,0.8270080807540554,0.8499388904487424,0.6616143027808177,,,,,,,,,,,,,,,
2026-06-29T11:17:59.719384+00:00,phoneme,1489,lightgbm,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,4.3717,success,,0.8344125809435707,0.7905697226947661,0.7962175249621658,0.6693191303831689,0.8859563644771831,0.7481501094751634,,,,,,,,,,,,,,,
2026-06-29T11:18:04.097881+00:00,phoneme,1489,lightgbm,1,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,0.2256,success,,0.7067530064754857,0.5,0.4140921409214092,0.5761794105518369,0.6447202173518093,0.3791812228714903,,,,,,,,,,,,,,,
2026-06-29T11:18:04.329386+00:00,phoneme,1489,lightgbm,1,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,0.6708,success,,0.7613320999074931,0.7268712735560804,0.7200763597822422,0.7173270987544416,0.8039766627578575,0.5472675288715231,,,,,,,,,,,,,,,
2026-06-29T11:18:05.006578+00:00,phoneme,1489,lightgbm,1,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,3.5135,success,,0.7974098057354302,0.7403979553074471,0.747656319117934,0.7430448948005086,0.8576188745932913,0.6646898351826592,,,,,,,,,,,,,,,
2026-06-29T11:18:08.532205+00:00,phoneme,1489,lightgbm,1,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,4.0598,success,,0.8381128584643849,0.7941103605463524,0.8003769280365025,0.6888447628990183,0.8974928567889409,0.7575685766560208,,,,,,,,,,,,,,,
2026-06-29T11:18:12.625868+00:00,phoneme,1489,lightgbm,2,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,0.2835,success,,0.7067530064754857,0.5,0.4140921409214092,0.6051424941170336,0.5,0.2932469935245143,,,,,,,,,,,,,,,
2026-06-29T11:18:12.917693+00:00,phoneme,1489,lightgbm,2,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,0.6107,success,,0.7844588344125809,0.7358498356648554,0.737802992843201,0.5666645483754739,0.8147245115364923,0.6485338314911423,,,,,,,,,,,,,,,
2026-06-29T11:18:13.532837+00:00,phoneme,1489,lightgbm,2,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,1.477,success,,0.8038852913968547,0.7634358432292269,0.7634358432292269,0.7647849077595217,0.8676193700761392,0.7283966267933096,,,,,,,,,,,,,,,
2026-06-29T11:18:15.016697+00:00,phoneme,1489,lightgbm,2,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,3.9172,success,,0.8362627197039778,0.7900329496093943,0.797287805188132,0.6643697957479381,0.8993963367301434,0.7416603907741481,,,,,,,,,,,,,,,
2026-06-29T11:18:18.944513+00:00,phoneme,1489,catboost,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,3.8138,success,,0.7696577243293247,0.6515516871190976,0.6671011834604934,0.6975903983388685,0.793627264769518,0.607332611866867,,,,,,,,,,,,,,,
2026-06-29T11:18:22.765377+00:00,phoneme,1489,catboost,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,1.5976,success,,0.755781683626272,0.6611145060861809,0.6733660519713589,0.7324582456642603,0.825495069945662,0.5882385878974816,,,,,,,,,,,,,,,
