timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-28T15:59:20.078548+00:00,spambase,44,random_forest,0,250,3430,200,50,921,2,57,57,,,,,1.6435,success,,0.9315960912052117,0.9252569685121005,0.9279196796927117,0.26541629646245884,0.969526644746586,0.9609510692852294
2026-06-28T15:59:21.726734+00:00,spambase,44,random_forest,0,500,3180,400,100,921,2,57,57,,,,,1.1366,success,,0.9370249728555917,0.9306999614917504,0.933605946107189,0.23095649707260957,0.9750264127096971,0.9674556377109312
2026-06-28T15:59:22.867412+00:00,spambase,44,random_forest,1,50,3630,40,10,921,2,57,57,,,,,1.2868,success,,0.8599348534201955,0.8362732900856068,0.8471880486440253,0.361557186413719,0.9248570751503302,0.9073644497811054
2026-06-28T15:59:24.158142+00:00,spambase,44,random_forest,1,100,3580,80,20,921,2,57,57,,,,,1.2545,success,,0.9001085776330076,0.8853120649308333,0.8930248765263764,0.3132481768915026,0.941563731153174,0.9316312603670146
2026-06-28T15:59:25.418685+00:00,spambase,44,random_forest,1,250,3430,200,50,921,2,57,57,,,,,1.2986,success,,0.9142236699239956,0.9036997541396368,0.908932520773959,0.2728850485229408,0.9548071131648844,0.9471613181440921
2026-06-28T15:59:26.722512+00:00,spambase,44,random_forest,1,500,3180,400,100,921,2,57,57,,,,,1.3566,success,,0.9261672095548317,0.9193326224118012,0.9221586954360147,0.24565818110551088,0.962205140357633,0.9561345256476029
2026-06-28T15:59:28.086034+00:00,spambase,44,random_forest,2,50,3630,40,10,921,2,57,57,,,,,1.2087,success,,0.8762214983713354,0.8530836221452057,0.8648642387174498,0.34612247031014753,0.9498750950363853,0.9369607745714406
2026-06-28T15:59:29.300397+00:00,spambase,44,random_forest,2,100,3580,80,20,921,2,57,57,,,,,1.411,success,,0.9011943539630836,0.8890962410023994,0.8948636731416959,0.29289119016198945,0.9602476376669926,0.9530464536377427
2026-06-28T15:59:30.715918+00:00,spambase,44,random_forest,2,250,3430,200,50,921,2,57,57,,,,,1.4801,success,,0.9218241042345277,0.9118975680559258,0.9170477858393795,0.26431711732863605,0.9665027597578917,0.9621338595990097
2026-06-28T15:59:33.671130+00:00,spambase,44,xgboost,0,50,3630,40,10,921,2,57,57,,,,,0.8233,success,,0.8197611292073833,0.8146716431173909,0.8125202334821209,0.43284475803375244,0.8865685199996051,0.855474157610305
2026-06-28T15:59:34.502699+00:00,spambase,44,xgboost,0,100,3580,80,20,921,2,57,57,,,,,1.2338,success,,0.8555917480998915,0.8630143072958323,0.8523727169190535,0.3624083995819092,0.9317836231325968,0.9125141144662142
2026-06-28T15:59:35.744124+00:00,spambase,44,xgboost,0,250,3430,200,50,921,2,57,57,,,,,1.8832,success,,0.8903365906623235,0.8854305518528393,0.8852449713485606,0.2735271155834198,0.9526940963891111,0.9380754216614956
2026-06-28T15:59:37.636503+00:00,spambase,44,xgboost,0,500,3180,400,100,921,2,57,57,,,,,2.3492,success,,0.9413680781758957,0.9342841908824313,0.9380548829701372,0.20384612679481506,0.9704424499145906,0.9638060390177963
2026-06-28T15:59:39.993605+00:00,spambase,44,xgboost,1,50,3630,40,10,921,2,57,57,,,,,1.1188,success,,0.8143322475570033,0.7957507627595604,0.8012844696515655,0.4324361979961395,0.8892171964019471,0.863919613214262
2026-06-28T15:59:41.121262+00:00,spambase,44,xgboost,1,100,3580,80,20,921,2,57,57,,,,,1.8481,success,,0.8925081433224755,0.882890488462336,0.8863735209266679,0.31678804755210876,0.9340719018138373,0.9200306604884505
2026-06-28T15:59:42.977130+00:00,spambase,44,xgboost,1,250,3430,200,50,921,2,57,57,,,,,1.3706,success,,0.8979370249728555,0.8897775408039338,0.8923958436909615,0.2944394052028656,0.9475522576695596,0.9335122508730499
2026-06-28T15:59:44.354624+00:00,spambase,44,xgboost,1,500,3180,400,100,921,2,57,57,,,,,2.087,success,,0.9261672095548317,0.9231834473769958,0.9227760569771342,0.23010411858558655,0.9636121725564541,0.9520771229052232
2026-06-28T15:59:46.449183+00:00,spambase,44,xgboost,2,50,3630,40,10,921,2,57,57,,,,,0.8689,success,,0.8317046688382194,0.8076809147190379,0.8168861604136497,0.39022183418273926,0.9062324120975147,0.8762231208054192
2026-06-28T15:59:47.325272+00:00,spambase,44,xgboost,2,100,3580,80,20,921,2,57,57,,,,,1.9551,success,,0.8686210640608035,0.8583636956070974,0.8612704889972203,0.32658568024635315,0.9328895010713194,0.9217289291286248
2026-06-28T15:59:49.287731+00:00,spambase,44,xgboost,2,250,3430,200,50,921,2,57,57,,,,,1.9889,success,,0.9185667752442996,0.9116161616161615,0.9141900948722759,0.20942537486553192,0.9703387738578354,0.9632964052961813
2026-06-28T15:59:51.284034+00:00,spambase,44,xgboost,2,500,3180,400,100,921,2,57,57,,,,,2.5763,success,,0.9207383279044516,0.9124455700702035,0.9162148184610783,0.20437300205230713,0.9718741668888297,0.9670426866891204
2026-06-28T15:59:53.868182+00:00,spambase,44,lightgbm,0,50,3630,40,10,921,2,57,57,,,,,0.354,success,,0.8121606948968513,0.7833688794099352,0.793330886158372,0.48632386429142743,0.8178880693543451,0.7306319707311941
2026-06-28T15:59:54.229395+00:00,spambase,44,lightgbm,0,100,3580,80,20,921,2,57,57,,,,,0.7923,success,,0.8349619978284474,0.842138392724903,0.8314470376328033,0.4987533741121727,0.9136798088410991,0.891530990818919
2026-06-28T15:59:55.028802+00:00,spambase,44,lightgbm,0,250,3430,200,50,921,2,57,57,,,,,2.111,success,,0.8903365906623235,0.8830237862495927,0.8846787540678754,0.3967412983798929,0.9580556296098819,0.9429948674911901
2026-06-28T15:59:57.147060+00:00,spambase,44,lightgbm,0,500,3180,400,100,921,2,57,57,,,,,4.1481,success,,0.9326818675352877,0.9261530258597708,0.9290270458387193,0.3068230175552165,0.9773887457171915,0.9697011493442667
2026-06-28T16:00:01.302632+00:00,spambase,44,lightgbm,1,50,3630,40,10,921,2,57,57,,,,,0.3837,success,,0.7687296416938111,0.7494519979857224,0.7533473063755043,0.5216092700319195,0.8233952427500815,0.7188293137373813
2026-06-28T16:00:01.693516+00:00,spambase,44,lightgbm,1,100,3580,80,20,921,2,57,57,,,,,0.8372,success,,0.8403908794788274,0.8273645546372819,0.8309177899307745,0.5767059663923034,0.901001708186459,0.8806879227330009
2026-06-28T16:00:02.537672+00:00,spambase,44,lightgbm,1,250,3430,200,50,921,2,57,57,,,,,1.9918,success,,0.9109663409337676,0.902455641458574,0.9059351926583565,0.5838215673651176,0.9520522922282454,0.9383866846109701
2026-06-28T16:00:04.537542+00:00,spambase,44,lightgbm,1,500,3180,400,100,921,2,57,57,,,,,3.2894,success,,0.9283387622149837,0.9211247371071418,0.9243691832976659,0.4372810742880056,0.9653228274929155,0.9543617523027544
2026-06-28T16:00:07.834616+00:00,spambase,44,lightgbm,2,50,3630,40,10,921,2,57,57,,,,,0.4741,success,,0.744842562432139,0.7157794958381468,0.7216216390026817,0.5121611438532427,0.8093323261944962,0.7285402487519506
2026-06-28T16:00:08.315974+00:00,spambase,44,lightgbm,2,100,3580,80,20,921,2,57,57,,,,,1.4458,success,,0.8295331161780674,0.8227361592464232,0.8219557933905566,0.556760819816394,0.9065705935207401,0.8851145288298229
2026-06-28T16:00:09.770329+00:00,spambase,44,lightgbm,2,250,3430,200,50,921,2,57,57,,,,,2.0589,success,,0.9153094462540716,0.9084466364525016,0.9108036831753978,0.3345661429117597,0.9696624110113846,0.9619293279695866
2026-06-28T16:00:11.836588+00:00,spambase,44,lightgbm,2,500,3180,400,100,921,2,57,57,,,,,3.6842,success,,0.9239956568946797,0.9165778014751622,0.9197854974369184,0.3860846558626275,0.9722444385200982,0.9662333289028642
2026-06-28T16:00:15.528017+00:00,spambase,44,catboost,0,50,3630,40,10,921,2,57,57,,,,,2.5739,success,,0.8501628664495114,0.8416866613347551,0.8426693404634581,0.3823375287892699,0.9222873900293255,0.901177659856897
2026-06-28T16:00:18.108148+00:00,spambase,44,catboost,0,100,3580,80,20,921,2,57,57,,,,,2.8612,success,,0.7828447339847991,0.8063479368464705,0.7820675424980124,0.6456679503466285,0.9215320359015374,0.906198204313005
2026-06-28T16:00:20.975606+00:00,spambase,44,catboost,0,250,3430,200,50,921,2,57,57,,,,,4.2067,success,,0.9174809989142236,0.9121641636304393,0.9133541295306001,0.2309892678763694,0.9648785015353931,0.9525795784804033
2026-06-28T16:00:25.188187+00:00,spambase,44,catboost,0,500,3180,400,100,921,2,57,57,,,,,4.6884,success,,0.9391965255157437,0.9329734293077402,0.9358953962414238,0.1980715876090703,0.9736317228985851,0.9638682169607293
2026-06-28T16:00:29.882540+00:00,spambase,44,catboost,1,50,3630,40,10,921,2,57,57,,,,,2.5677,success,,0.8534201954397395,0.8318596522408839,0.8411470477382922,0.4507304257661139,0.9136057545148455,0.8874176534660827
2026-06-28T16:00:32.455560+00:00,spambase,44,catboost,1,100,3580,80,20,921,2,57,57,,,,,3.2132,success,,0.8946796959826275,0.8803504250718327,0.8874118603376245,0.4019320876451728,0.9341311452748403,0.9211038782417397
2026-06-28T16:00:35.673829+00:00,spambase,44,catboost,1,250,3430,200,50,921,2,57,57,,,,,3.2448,success,,0.9153094462540716,0.9065212239699043,0.9104282208833739,0.31327622547193484,0.9524126899493469,0.9396427080922743
2026-06-28T16:00:38.923914+00:00,spambase,44,catboost,1,500,3180,400,100,921,2,57,57,,,,,4.945,success,,0.9337676438653637,0.9280117894487396,0.9302796582299688,0.20019824818403248,0.9729652339623015,0.957451827104091
