timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,neural_method,method_fidelity,reference_family,best_epoch,epochs_trained,pretrain_epochs_trained,finetune_epochs_trained,best_val_loss,final_train_loss,neural_validation_strategy,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-30T11:24:23.717504+00:00,spambase,44,vime,2,250,3430,200,50,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,15,25,50,25,0.3170575797557831,0.14831557869911194,internal_stratified_val,stratified_labeled_val,2,True,99,151,22.2467,success,,0.8707926167209555,0.8688201664741254,0.8657791189102537,0.3617919060646734,0.933780621463906,0.8660598234446967
2026-06-30T11:24:45.971223+00:00,spambase,44,vime,2,500,3180,400,100,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,27,37,50,37,0.28911536931991577,0.1292826123535633,internal_stratified_val,stratified_labeled_val,2,True,197,303,22.0603,success,,0.8827361563517915,0.8834903285049913,0.8786502049580325,0.33132723558941546,0.9503391688142422,0.9139219130434072
2026-06-30T11:25:08.128629+00:00,letter,6,vime,0,50,15950,50,0,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,99,100,50,100,,0.051178332418203354,no_val,no_val_low_label_multiclass,26,True,1,5,127.6388,success,,0.35375,0.35321238250000664,0.3383018624225645,4.504010246941768,0.8074042616061438,
2026-06-30T11:27:15.776647+00:00,letter,6,vime,0,100,15900,100,0,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,97,100,50,100,,0.09648256003856659,no_val,no_val_low_label_multiclass,26,True,3,4,86.0063,success,,0.50625,0.505862532050842,0.497064698156758,2.527167778338967,0.9049526461121413,
2026-06-30T11:28:41.790532+00:00,letter,6,vime,0,250,15750,200,50,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,82,92,50,92,1.636024832725525,0.3020632863044739,internal_stratified_val,stratified_labeled_val,26,True,9,10,110.8147,success,,0.54825,0.5466853539582222,0.5451630880327529,1.7655542367089643,0.9347065401227722,
2026-06-30T11:30:32.614268+00:00,letter,6,vime,0,500,15500,400,100,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,100,100,50,100,0.9180695414543152,0.3158818334341049,internal_stratified_val,stratified_labeled_val,26,True,18,20,80.6253,success,,0.68275,0.6816386795168756,0.6844031219110357,1.229892410046547,0.9679569195193601,
2026-06-30T11:31:53.248842+00:00,letter,6,vime,1,50,15950,50,0,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,98,100,50,100,,0.07176903635263443,no_val,no_val_low_label_multiclass,26,True,1,6,111.3504,success,,0.2725,0.2704768181389839,0.2529451436953779,5.137236863807461,0.7733821821721032,
2026-06-30T11:33:44.606940+00:00,letter,6,vime,1,100,15900,100,0,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,95,100,50,100,,0.11989961564540863,no_val,no_val_low_label_multiclass,26,True,3,4,75.1525,success,,0.5095,0.5075223645774875,0.5123039051644225,2.513015801613383,0.9033624994824204,
2026-06-30T11:34:59.766526+00:00,letter,6,vime,1,250,15750,200,50,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,68,78,50,78,1.374126672744751,0.3850267827510834,internal_stratified_val,stratified_labeled_val,26,True,9,10,81.8147,success,,0.5695,0.5679666115138036,0.5720431293268352,1.665929291713182,0.9333448566923557,
2026-06-30T11:36:21.588826+00:00,letter,6,vime,1,500,15500,400,100,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,60,70,50,70,1.2164008617401123,0.5345743894577026,internal_stratified_val,stratified_labeled_val,26,True,18,20,76.1954,success,,0.62575,0.6241382298035769,0.6225875093214683,1.3005955006252403,0.9585064831906634,
2026-06-30T11:37:37.792132+00:00,letter,6,vime,2,50,15950,50,0,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,94,100,50,100,,0.04437948390841484,no_val,no_val_low_label_multiclass,26,True,1,4,88.4618,success,,0.3255,0.32559475226050016,0.3070351029670681,3.7633913683857694,0.8253826925814771,
2026-06-30T11:39:06.262352+00:00,letter,6,vime,2,100,15900,100,0,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,98,100,50,100,,0.13158756494522095,no_val,no_val_low_label_multiclass,26,True,3,4,76.9395,success,,0.53475,0.5336338281129508,0.5348668226669104,2.2972165396720707,0.9131701793068525,
2026-06-30T11:40:23.208997+00:00,letter,6,vime,2,250,15750,200,50,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,68,78,50,78,1.5237658023834229,0.4507736563682556,internal_stratified_val,stratified_labeled_val,26,True,9,10,69.4584,success,,0.525,0.5239094337134241,0.5207457428571052,1.7484061277455933,0.9255050659730757,
2026-06-30T11:41:32.674871+00:00,letter,6,vime,2,500,15500,400,100,4000,26,16,16,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,58,68,50,68,1.320259928703308,0.5836854577064514,internal_stratified_val,stratified_labeled_val,26,True,18,20,69.4955,success,,0.61375,0.6123659323288235,0.6034953891925005,1.372710082809387,0.9533940308827804,
