dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy,ranking_warning
spambase,44,vime_lite,50,0.8874411871154542,0.03933348705093914,3,0.8764625729435114,0.0446685229773445,3,0.8804713351362031,0.042608480801254275,3,0.8804713351362031,0.042608480801254275,3,0.9396292675862569,0.029313663911162857,3,0.9030223177696411,0.05309431811835741,3,0.37682713594672407,0.1269027383551065,3,63.543733333333336,10.703268477588205,3,,,0,,,0,3,3,0,1.0,True,1.0,
spambase,44,scarf,50,0.8715164676076728,0.03364738919254851,3,0.8605927308273348,0.04427473512690702,3,0.8633387643673439,0.038926561625521584,3,0.8633387643673439,0.038926561625521584,3,0.9336119421652169,0.031023125765778297,3,0.9090048000137608,0.03265351039603892,3,0.521579632395584,0.03910324611871553,3,40.70603333333333,26.747236478809047,3,,,0,,,0,3,3,0,1.0,True,2.0,
spambase,44,sslae,50,0.8574013753166847,0.039691523645751806,3,0.8436491009804793,0.04664405841867826,3,0.8479886365789051,0.043859495316708484,3,0.8479886365789051,0.043859495316708484,3,0.9173586632042156,0.03245447643280641,3,0.8732949706493293,0.040900793379819105,3,0.4120679120711955,0.061095815717437,3,14.555766666666669,3.10797427488281,3,,,0,,,0,3,3,0,1.0,True,3.0,
spambase,44,scarf,100,0.8888888888888888,0.035918251231018675,3,0.8766946098324397,0.042591094910295474,3,0.8814882995470468,0.03911852452845218,3,0.8814882995470468,0.03911852452845218,3,0.9415645539790214,0.018360994820991183,3,0.8977927623188879,0.04441851869327191,3,0.5746745623437789,0.3197870981462022,3,52.0422,25.091621913100795,3,,,0,,,0,3,3,0,1.0,True,1.0,
spambase,44,vime_lite,100,0.8758595729279769,0.036016582749176705,3,0.8617701946147694,0.04631773819561555,3,0.8669588889557917,0.040911749322106304,3,0.8669588889557917,0.040911749322106304,3,0.9332861031297003,0.023096543614606602,3,0.8865312728534778,0.030920275386581264,3,0.50707860731491,0.19271361797915393,3,59.853566666666666,6.013239090817306,3,,,0,,,0,3,3,0,1.0,True,2.0,
spambase,44,sslae,100,0.8754976474846181,0.03921341507283915,3,0.8581020369876674,0.05412094362123095,3,0.8647618388214274,0.04643317053708217,3,0.8647618388214274,0.04643317053708217,3,0.9388154928233129,0.012938650326666228,3,0.886676165958601,0.023299395561688717,3,0.3981779834969869,0.050201638818773035,3,10.719999999999999,0.750121636802992,3,,,0,,,0,3,3,0,1.0,True,3.0,
spambase,44,sslae,250,0.9145855953673543,0.022602236693443342,3,0.9108978346515003,0.024088752269611293,3,0.9105946945051294,0.02366234051024575,3,0.9105946945051294,0.02366234051024575,3,0.9568641777830439,0.012240204530356371,3,0.9166513394299801,0.036031226359934346,3,0.31071401000547555,0.0658457051766842,3,20.072066666666668,5.582679306868104,3,,,0,,,0,3,3,0,1.0,True,1.0,
spambase,44,scarf,250,0.9131378935939196,0.022749540542624284,3,0.9052104623952131,0.02728496351931338,3,0.9081769297669124,0.024838567804399535,3,0.9081769297669124,0.024838567804399535,3,0.9568962679910872,0.014960681440992116,3,0.9286770263757527,0.018739214499267808,3,0.29739571245904467,0.06173802339762756,3,42.30976666666667,17.21091311939414,3,,,0,,,0,3,3,0,1.0,True,2.0,
spambase,44,vime_lite,250,0.9080709373868983,0.02651458980440444,3,0.9029542739220159,0.021768396530680297,3,0.9037623262639961,0.02654767874100393,3,0.9037623262639961,0.02654767874100393,3,0.9541949307345202,0.01652671136218465,3,0.9168177127993263,0.03759220275836748,3,0.3020034965898965,0.060170461803949325,3,63.15586666666667,8.428607077289426,3,,,0,,,0,3,3,0,1.0,True,3.0,
spambase,44,scarf,500,0.9106044154904089,0.012953695380509075,3,0.9064891337618611,0.009892954926812204,3,0.9064589935887168,0.012772440716681491,3,0.9064589935887168,0.012772440716681491,3,0.9612843982345449,0.0033433056545409973,3,0.9316284431902758,0.006176507381454383,3,0.2701114240001316,0.016643980349013404,3,36.05073333333333,17.076332523212745,3,,,0,,,0,3,3,0,1.0,True,1.0,
