dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete
letter,6,self_training_lr,100,0.4891666666666667,0.03703236197345949,3,0.48829487503118035,0.03730551924485845,3,0.48644004635060784,0.03958259585812708,3,0.48644004635060784,0.03958259585812708,3,0.8910728045148534,0.012164488935092291,3,,,0,2.074211835861206,0.15118986614666496,3,1.0517,0.32213548391942165,3,1222.6666666666667,467.8101466763343,3,0.07689727463312367,0.02942202180354301,3,3,3,0,1.0,True
letter,6,self_training_lr,250,0.57075,0.016585008290621973,3,0.5690253808881508,0.016136676344205406,3,0.5647582035944833,0.019046429455047358,3,0.5647582035944833,0.019046429455047358,3,0.9279986267760608,0.0062840389666334595,3,,,0,1.685522158940633,0.07270572038574524,3,2.540366666666667,0.9739701449907656,3,2005.3333333333333,331.1862517275337,3,0.1273227513227513,0.021027698522383113,3,3,3,0,1.0,True
letter,6,self_training_lr,500,0.65025,0.0193858840396821,3,0.648681214644474,0.01932410991657132,3,0.6443706789693697,0.01910434389831075,3,0.6443706789693697,0.01910434389831075,3,0.9548953488826474,0.0031996806001207464,3,,,0,1.3163141012191772,0.0474943154693725,3,2.134933333333333,0.5948615833396316,3,2653.3333333333335,254.07151224278041,3,0.1711827956989247,0.016391710467276135,3,3,3,0,1.0,True
letter,6,self_training_xgboost,50,0.24949999999999997,0.02434260668046871,3,0.24742151738514503,0.02598459873254683,3,0.18651229633136082,0.0241528605510402,3,0.18651229633136082,0.0241528605510402,3,0.7174537310412833,0.047341920421614815,3,,,0,2.9239730834960938,0.3421727585174586,3,40.3623,20.817421170500445,3,240.0,415.69219381653056,3,0.015047021943573666,0.02606220650887339,3,3,3,0,1.0,True
letter,6,self_training_xgboost,100,0.4644166666666667,0.018066428350211713,3,0.46408345702183845,0.01758619667784541,3,0.46030980424255513,0.020047565386711295,3,0.46030980424255513,0.020047565386711295,3,0.8770497706961705,0.00595647371804383,3,,,0,2.0807878971099854,0.06193906261361993,3,80.65236666666667,4.023612007057013,3,1043.6666666666667,299.4016254687562,3,0.06563941299790353,0.018830290909984653,3,3,3,0,1.0,True
letter,6,self_training_xgboost,250,0.5975,0.01718102150630164,3,0.5966838135037675,0.017633936476228913,3,0.5947750041240577,0.020111597786077302,3,0.5947750041240577,0.020111597786077302,3,0.9166506332239637,0.005914613739799398,3,,,0,1.779589056968689,0.055993585898601136,3,107.55256666666666,2.2305324797754795,3,5324.0,320.48556909789244,3,0.33803174603174596,0.020348290101453503,3,3,3,0,1.0,True
letter,6,self_training_xgboost,500,0.6944166666666667,0.016008461304364403,3,0.6938807367278357,0.016053989019057788,3,0.6929750429959097,0.0159441032273021,3,0.6929750429959097,0.0159441032273021,3,0.9579404718969764,0.0020056918612837878,3,,,0,1.2565149068832397,0.029627652298436512,3,129.39133333333334,4.633495969927384,3,6000.0,0.0,3,0.3870967741935483,0.0,3,3,3,0,1.0,True
letter,6,xgboost,50,0.2544166666666667,0.015992836938246234,3,0.2523191242007249,0.017600229251954883,3,0.1906342762281593,0.017013856892312173,3,0.1906342762281593,0.017013856892312173,3,0.7264593467062989,0.03218620929792858,3,,,0,2.798513491948446,0.12765497546858595,3,14.238633333333333,1.637227089726202,3,,,0,,,0,3,3,0,1.0,True
letter,6,xgboost,100,0.48825,0.007365459931328124,3,0.48772585953603703,0.007323362211971535,3,0.4855744015514965,0.01016400496702279,3,0.4855744015514965,0.01016400496702279,3,0.8898006323629621,0.0027723371363793875,3,,,0,1.934165636698405,0.004149351574359927,3,18.0175,0.3609219860302224,3,,,0,,,0,3,3,0,1.0,True
letter,6,xgboost,250,0.6028333333333333,0.005751811308912499,3,0.6022841831487976,0.0057099984095064435,3,0.6026120660885431,0.0048392886600041925,3,0.6026120660885431,0.0048392886600041925,3,0.9345553532960077,0.008745056034470695,3,,,0,1.4833712577819824,0.07368508448178422,3,19.9469,0.5377111864188792,3,,,0,,,0,3,3,0,1.0,True
letter,6,xgboost,500,0.7013333333333334,0.013000801257358472,3,0.7007049139503255,0.013199836026566464,3,0.7005158589847897,0.013504601310541011,3,0.7005158589847897,0.013504601310541011,3,0.9637193985921453,0.0032372550141367114,3,,,0,1.110205094019572,0.0428422685598972,3,25.735333333333333,0.5681289671661994,3,,,0,,,0,3,3,0,1.0,True
phoneme,1489,catboost,50,0.7502312673450509,0.016830162255929888,3,0.6762597651411301,0.022390809430730095,3,0.6809476306064407,0.012597429455847532,3,0.6809476306064407,0.012597429455847532,3,0.7942273495521386,0.020843597918327097,3,0.5553654588423492,0.05969122297275059,3,0.7216776506894712,0.0726259045975691,3,2.8892666666666664,1.1960366479892384,3,,,0,,,0,3,3,0,1.0,True
phoneme,1489,catboost,100,0.761332099907493,0.005150568328242394,3,0.6964176590087039,0.031141891163528307,3,0.7008616405643134,0.024208694602570382,3,0.7008616405643134,0.024208694602570382,3,0.8312199613523378,0.012068253643986586,3,0.5965451686625692,0.057604699400860736,3,0.7377705130707977,0.15291036514939693,3,2.7157,1.4254232038240433,3,,,0,,,0,3,3,0,1.0,True
phoneme,1489,catboost,250,0.8051187172371262,0.011304534554315923,3,0.7553876878017628,0.015451609303639797,3,0.7600730334657554,0.013017027193798488,3,0.7600730334657554,0.013017027193798488,3,0.8781690257155598,0.007981360155585036,3,0.7054014537248742,0.03804608514568574,3,0.49728270801699215,0.03393971058636393,3,3.5842333333333336,1.0973994821091058,3,,,0,,,0,3,3,0,1.0,True
phoneme,1489,catboost,500,0.8322540857230959,0.006296817100420008,3,0.7850437125979267,0.013176945285636591,3,0.7921490831224776,0.010401317009048157,3,0.7921490831224776,0.010401317009048157,3,0.9006790867700575,0.007256545513617396,3,0.769352017382508,0.008869874937634433,3,0.40419420553356417,0.016498543507489694,3,3.4123,0.4894616532477288,3,,,0,,,0,3,3,0,1.0,True
phoneme,1489,label_propagation,50,0.7187789084181313,0.02701772778262767,3,0.6269385766429386,0.053594413493904695,3,0.620283715720188,0.03657297095407929,3,0.620283715720188,0.03657297095407929,3,0.7599399364680882,0.04369129587056245,3,0.5014569932283195,0.07986007644652508,3,0.6860445396204627,0.10646174077144899,3,2.8120999999999996,0.7815072424488462,3,,,0,,,0,3,3,0,1.0,True
