method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count
mlp,250,0.5950729663958421,0.2877360458580991,9,0.5345931176957227,0.26587491568098576,9,0.5161349259588623,0.28563726588505967,9,0.5161349259588623,0.28563726588505967,9,0.8006494124991573,0.11807344088795699,9,0.6745079091652277,0.22927670152439614,6,1.3222834306760527,1.1986779704759891,9,0.24077777777777776,0.1190396654247837,9,,,0
mlp,500,0.7275238472373303,0.15177882618797686,9,0.689598741468228,0.15215877445720422,9,0.6842128392297744,0.1662812404174165,9,0.6842128392297744,0.1662812404174165,9,0.8908168642778007,0.07407720094749508,9,0.751791380892756,0.1709558378210635,6,0.8631710648174825,0.6515306510703625,9,0.3671888888888889,0.1999085256088672,9,,,0
random_forest,50,0.8245689454577353,0.05176344797929392,6,0.785885099254949,0.07865511635117989,6,0.7917123275433214,0.07842554908060248,6,0.7917123275433214,0.07842554908060248,6,0.886588528966275,0.05883860593953502,6,0.7650202183951141,0.17199744079790388,6,0.42442158109908906,0.0703058061879196,6,1.2508000000000001,0.18917560096376068,6,,,0
random_forest,100,0.8403401563477738,0.06001191859558577,6,0.8006266786031538,0.09596658338975048,6,0.8068362082215534,0.09100080761626068,6,0.8068362082215534,0.09100080761626068,6,0.8996205295088466,0.05677013690681602,6,0.7968196617996132,0.15784829236448356,6,0.3900493873551792,0.0885020305225848,6,1.2585333333333333,0.13521052720356744,6,,,0
random_forest,250,0.7837472780818375,0.13260164298965596,9,0.7672759363861105,0.12869737212442886,9,0.7680862360676941,0.13096739335776778,9,0.7680862360676941,0.13096739335776778,9,0.9242086892591485,0.03875593302479441,9,0.8423643179154809,0.12674440263451017,6,0.8721857272678327,0.7911859411433367,9,1.7108555555555556,0.5505098707360095,9,,,0
random_forest,500,0.8114564927365481,0.0877654383230074,8,0.7899608765991565,0.08736785930262611,8,0.7940747769033034,0.08721052154837358,8,0.7940747769033034,0.08721052154837358,8,0.9370055169082765,0.03860453736527666,8,0.8309754282443989,0.12093169997975949,5,0.7439996142373824,0.5669310704180038,8,1.6186625000000001,0.614889567175626,8,,,0
rpl_lite_xgboost,50,0.798242468619457,0.027020937559807588,6,0.7765768309093556,0.0312695924957453,6,0.7740847383818862,0.03785893813407008,6,0.7740847383818862,0.03785893813407008,6,0.8628374405252672,0.04754227429815196,6,0.7467872314162505,0.14104050809295463,6,1.484700123469035,0.31146916897688665,6,9.6958,1.4829749397747767,6,3922.0,363.6074806711216,6
rpl_lite_xgboost,100,0.8213789125027664,0.046174530393991164,6,0.8000434620935462,0.07105527107831805,6,0.7961550695631298,0.06947130241171494,6,0.7961550695631298,0.06947130241171494,6,0.8886961073003842,0.051622792611085995,6,0.7840775520765101,0.15395489042989566,6,1.2025525470574696,0.4288972300844523,6,10.588849999999999,2.5201675323279593,6,3862.1666666666665,354.9746000302932,6
rpl_lite_xgboost,250,0.7736017646069504,0.1354246366966769,9,0.7665356160269696,0.1316325443971961,9,0.7630716653294713,0.13072373083309738,9,0.7630716653294713,0.13072373083309738,9,0.9156109759069674,0.039773514870050465,9,0.831017270370936,0.1331462596943017,6,1.483664545747969,1.0849731604352637,9,89.44216666666667,115.29499964951863,9,6988.555555555556,4954.100930318011,9
rpl_lite_xgboost,500,0.824188387522266,0.09530443709400627,9,0.8129067637613792,0.09307824986515978,9,0.8132299224363851,0.09372874046400297,9,0.8132299224363851,0.09372874046400297,9,0.9372318681443299,0.03941646995474917,9,0.8489543188316659,0.12534195636658627,6,1.0077290071381464,0.6881384358859762,9,101.5982111111111,132.2326464622527,9,6859.0,5166.541178583599,9
rpl_lr,50,0.7860277360107112,0.0687522140938787,6,0.7293402669353549,0.11807637597998633,6,0.7301783240331604,0.12006747922684718,6,0.7301783240331604,0.12006747922684718,6,0.8471510745924521,0.07997253775207011,6,0.6952066877707689,0.17783205680903763,6,1.3423308124733648,0.4159131297023031,6,0.19261666666666666,0.09730556852856197,6,,,0
rpl_lr,100,0.8124744082552482,0.08752110802506234,6,0.7616337649509632,0.1417122792174824,6,0.7641489509000118,0.13755294901929407,6,0.7641489509000118,0.13755294901929407,6,0.8603506403158011,0.0879742691286645,6,0.7083345950014889,0.18686511808447848,6,0.9611938440412887,0.2828953356030481,6,0.16218333333333332,0.07900342819565913,6,,,0
rpl_lr,250,0.7235464406814466,0.14847947709761936,9,0.6906594706981117,0.14973797634756805,9,0.6866543389582144,0.15799486348063088,9,0.6866543389582144,0.15799486348063088,9,0.8864905672466331,0.06847378789488678,9,0.7124016589389822,0.1927263793458628,6,1.0874744586867697,0.5950287895703279,9,0.422,0.37219287674537777,9,,,0
rpl_lr,500,0.7517175140945017,0.11939525000473494,9,0.7144521008372872,0.13644464910023962,9,0.7131537746675355,0.13681298932451316,9,0.7131537746675355,0.13681298932451316,9,0.8996458175778798,0.07575662964254129,9,0.7238756260918988,0.18438729117635952,6,0.8582084621768122,0.4443689588142713,9,0.6704888888888889,0.6851531388026411,9,,,0
self_training_catboost,50,0.8030663555647962,0.0497902183835771,6,0.7662044427955682,0.06747788201613503,6,0.7705904494334437,0.07066138510085113,6,0.7705904494334437,0.07066138510085113,6,0.8719223637704792,0.067342571867779,6,0.7491042386071683,0.1810029450164651,6,1.321405165929395,0.5274979271567757,6,45.630983333333326,11.381476989638324,6,3925.3333333333335,373.6247672018902,6
self_training_catboost,100,0.8074578403731348,0.05203016058111165,6,0.768613518996044,0.08473613769739112,6,0.7707309429520178,0.07952039552285567,6,0.7707309429520178,0.07952039552285567,6,0.8878148049466122,0.04975824367794217,6,0.778296092600764,0.15121810136586422,6,1.1668168409119126,0.4101694130393394,6,46.452133333333336,6.436111734787294,6,3881.0,351.7595769840531,6
self_training_catboost,250,0.7437374337209384,0.1911015734437225,9,0.728895517006138,0.18467727663965658,9,0.7213028318318122,0.19803417513314997,9,0.7213028318318122,0.19803417513314997,9,0.9161959999649425,0.044213313115336744,9,0.8298546787362429,0.14297387516968815,6,1.4368659318243526,1.2102479675533213,9,124.05656666666667,115.8158471168022,9,6948.0,4886.732011272973,9
self_training_catboost,500,0.7957370148505497,0.13023731104632555,9,0.7771764724225029,0.12666692703898247,9,0.7784454267523616,0.1303091550364477,9,0.7784454267523616,0.1303091550364477,9,0.9357834487572337,0.04103426356211558,9,0.8457022760892117,0.1296285685143111,6,0.902722942931707,0.6345028304449781,9,129.06103333333334,121.80924053719201,9,6288.0,4302.113492226815,9
self_training_lightgbm,50,0.7627141796763964,0.06420304485782266,6,0.6448539648686277,0.16178067453476686,6,0.6056966983516424,0.2119997663937658,6,0.6056966983516424,0.2119997663937658,6,0.7158347036480142,0.2092502241676778,6,0.5962707124538916,0.31587194184284834,6,1.5016125709340686,1.0392277529401988,6,15.6723,17.67885014620578,6,1813.1666666666667,1986.2260109732392,6
self_training_lightgbm,100,0.805078540499658,0.031755761420834534,6,0.7706920171423736,0.06677682929086357,6,0.7724033902426214,0.061772675329553786,6,0.7724033902426214,0.061772675329553786,6,0.868494832139194,0.048473380864141415,6,0.7539591389951088,0.14781683992425376,6,2.5912810519222997,0.6108876882405319,6,29.088016666666665,1.7407753461221418,6,3898.1666666666665,354.022268602791,6
self_training_lightgbm,250,0.7784741564252257,0.1322037334042079,9,0.761140638316566,0.1264861432055475,9,0.763262437327788,0.12790621525812318,9,0.763262437327788,0.12790621525812318,9,0.9140574135936055,0.043553945190697184,9,0.8310084430354395,0.13404626506993803,6,2.8284881938892026,2.3169112863383683,9,283.1105,369.71854313257,9,7718.555555555556,5966.072014129379,9
self_training_lightgbm,500,0.8267220036775106,0.08894953233751571,9,0.809214202609962,0.08922523901395328,9,0.812730703811171,0.0895705372287766,9,0.812730703811171,0.0895705372287766,9,0.9351430745482384,0.0412583135458432,9,0.8446865294963302,0.1276444268574324,6,1.8745803671246466,1.3907174449830986,9,282.87941111111115,366.16400237137407,9,7461.333333333333,5960.840083411063,9
self_training_lr,50,0.7904316086464357,0.06674433696259573,6,0.7402107839365611,0.11150862258278181,6,0.7408577402383837,0.11373942772026945,6,0.7408577402383837,0.11373942772026945,6,0.8486542722909651,0.07568478835121507,6,0.695877136596994,0.17239583583181914,6,1.5851294727817236,0.5265844861112298,6,0.29419999999999996,0.13061367462865442,6,3766.1666666666665,296.92114553643137,6
self_training_lr,100,0.8159741368948672,0.07605064253870154,6,0.7755880553872802,0.11858457341676047,6,0.7778473949518311,0.11379623677992078,6,0.7778473949518311,0.11379623677992078,6,0.8604792841094483,0.08459852594393315,6,0.7062448199717509,0.18349970713194694,6,1.2247489011536459,0.4461598258489214,6,0.3051,0.14202130826041562,6,3698.5,286.88865435914323,6
self_training_lr,250,0.7228371225297863,0.16349653338483622,9,0.6942481298483776,0.15902107734220006,9,0.683477045056613,0.17901912410943108,9,0.683477045056613,0.17901912410943108,9,0.8863681971912176,0.06375744394843003,9,0.7174332646341434,0.18794929854583178,6,1.630162177902279,1.1483037863336658,9,2.134888888888889,2.850342197633665,9,6239.888888888889,4151.725196964644,9
self_training_lr,500,0.7495522013838877,0.13172514967052087,9,0.7187501989672103,0.13870869546008563,9,0.7115442907818753,0.14781600749362805,9,0.7115442907818753,0.14781600749362805,9,0.9003615587643079,0.06888399781254144,9,0.736455984410369,0.1700465773002636,6,1.13541684827249,0.6914283428714433,9,2.1571333333333333,2.825855745610522,9,5658.666666666667,3799.2276188720257,9
self_training_xgboost,50,0.7946956997163858,0.03482151800313716,6,0.7554532667173767,0.05339154429358048,6,0.7608372847209756,0.0554868295558846,6,0.7608372847209756,0.0554868295558846,6,0.8586916360679645,0.054144550744321916,6,0.735146854983966,0.15740557863233678,6,1.5065767367680867,0.3644581732068849,6,22.332716666666666,6.8672551396949455,6,3929.5,367.98736391349087,6
self_training_xgboost,100,0.8174636894364978,0.054940113374157655,6,0.7808019303476113,0.08924375141789732,6,0.7839492138301422,0.08521173206666972,6,0.7839492138301422,0.08521173206666972,6,0.8829329466300709,0.05612982570525069,6,0.7725386707974597,0.16152505649702378,6,1.2564056813716888,0.4743968281523408,6,26.308316666666666,1.2048215841636745,6,3876.6666666666665,357.2744976438518,6
self_training_xgboost,250,0.7763853312108855,0.1375969838261403,9,0.7585260238574383,0.13107909366272869,9,0.7621902531193137,0.13152443836777739,9,0.7621902531193137,0.13152443836777739,9,0.9121089131032171,0.04573099761716934,9,0.8231866249383767,0.14349539305024797,6,1.5494760076204936,1.1782276468526114,9,152.85775555555554,187.37032052920037,9,7324.0,5418.8602583938255,9
self_training_xgboost,500,0.8235038316889329,0.0939968228963422,9,0.8042137646698726,0.09328758942115246,9,0.8092989693797272,0.09278526259808428,9,0.8092989693797272,0.09278526259808428,9,0.9354864104152365,0.04059929773794373,9,0.8446636220946427,0.12848942185854476,6,1.0421277946896024,0.7242830622371155,9,156.25,203.36653820056043,9,7064.333333333333,5439.503125286353,9
xgboost,50,0.7950243119482604,0.03692387787077584,6,0.7602393643288833,0.055253011460144455,6,0.7637162268838273,0.056578705839963675,6,0.7637162268838273,0.056578705839963675,6,0.8545328467312805,0.054216291793336174,6,0.7394034648514914,0.14458974868140598,6,0.49755196770032245,0.11129896460221173,6,0.8839833333333335,0.21161409609632972,6,,,0
xgboost,100,0.8249576553927392,0.05349886404384489,6,0.7918797087295619,0.0863655752178531,6,0.7939604709342003,0.0821016866639435,6,0.7939604709342003,0.0821016866639435,6,0.8863382718942775,0.051793993466333045,6,0.7812114671624988,0.1501957475100721,6,0.4479229549566905,0.12966905311920787,6,1.3878166666666667,0.46322777730471515,6,,,0
xgboost,250,0.7676385509857865,0.13727731569726556,9,0.7510348556441202,0.13176327328051674,9,0.7520673890504715,0.13262267900427907,9,0.7520673890504715,0.13262267900427907,9,0.9189669527060053,0.042001259610969226,9,0.8297941903780481,0.12849073968615699,6,0.7558128817213906,0.5741733672108609,9,4.238033333333333,3.467367424286039,9,,,0
xgboost,500,0.8213067405182062,0.0989050943617667,9,0.8040382525413247,0.09749397698068929,9,0.8068633047780506,0.09789779396411917,9,0.8068633047780506,0.09789779396411917,9,0.9408838132585768,0.03959665124696557,9,0.8532156549324448,0.11867145552970124,6,0.589121056927575,0.39540359755977594,9,5.361777777777778,4.253702784862201,9,,,0
