dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count
phoneme,1489,random_forest,100,0.78600061671292,0.006159415465753379,3,0.7144848905258173,0.02754251975614671,3,0.7246649471311771,0.01930175069633435,3,0.7246649471311771,0.01930175069633435,3,0.8480856469629655,0.0014593051940960918,3,0.6536148281932638,0.025231210172907217,3,0.4677637953613667,0.03319332815638145,3,1.2300333333333333,0.17571244501552327,3,,,0
phoneme,1489,random_forest,250,0.807277212457601,0.018509094910217648,3,0.7679887800661745,0.029908224316239008,3,0.7673848000299307,0.025909120098515093,3,0.7673848000299307,0.025909120098515093,3,0.8768972864056023,0.009878290178828653,3,0.7279798868215183,0.02897716163978971,3,0.43238962197369174,0.02198253649872304,3,1.2818333333333334,0.2151692434650765,3,,,0
phoneme,1489,random_forest,500,0.8211532531606537,0.012073248196393377,3,0.7688847782163718,0.022973208871164316,3,0.7768167357906953,0.018940643171171223,3,0.7768167357906953,0.018940643171171223,3,0.8909077521044257,0.0064392884116954,3,0.7437623259544867,0.026342753918990023,3,0.4026394903177794,0.023494444933145873,3,1.1643666666666668,0.2798661346667964,3,,,0
phoneme,1489,rpl_lite_xgboost,50,0.7810669133518348,0.02570849749872921,3,0.7531373698669354,0.02763784639180702,3,0.7444268011677596,0.02816402067294735,3,0.7444268011677596,0.02816402067294735,3,0.8310369079668137,0.04973462483652819,3,0.6266623420415125,0.0787640783616381,3,1.7073170344034831,0.2898803593350647,3,10.979166666666666,0.6041247084280958,3,4253.666666666667,6.027713773341588,3
phoneme,1489,rpl_lite_xgboost,100,0.7813752698119026,0.01341616399494732,3,0.7432043151050699,0.05023925878031016,3,0.737090877909938,0.03499352973585158,3,0.737090877909938,0.03499352973585158,3,0.8428183890201001,0.016348370478982095,3,0.6463056277283216,0.047101286121291386,3,1.5710288286209106,0.18213919425349812,3,12.859833333333333,0.5593819923212877,3,4186.0,7.810249675906654,3
phoneme,1489,rpl_lite_xgboost,250,0.8048103607770583,0.008824599458066075,3,0.7917753976249856,0.0019063495097391405,3,0.7759550437983523,0.006755870010527126,3,0.7759550437983523,0.006755870010527126,3,0.8710450834338062,0.007967760241312818,3,0.7108967120587172,0.02731528006659318,3,1.1459300518035889,0.08449264843099519,3,15.852133333333333,1.6542523699040999,3,4000.6666666666665,19.55334583474989,3
phoneme,1489,rpl_lite_xgboost,500,0.8251618871415355,0.018221753564840133,3,0.7997134457528862,0.025855364794955704,3,0.7931739916344834,0.02186139131579027,3,0.7931739916344834,0.02186139131579027,3,0.8865165353637119,0.012956860905653147,3,0.7355820636416904,0.025054323820167698,3,0.8603230714797974,0.0766448091975384,3,16.7196,1.0362425777780022,3,3711.6666666666665,16.28905563049418,3
phoneme,1489,rpl_lr,50,0.7425223558433549,0.040790559930466486,3,0.6569634608926399,0.10155126904029986,3,0.6536009338975397,0.10369536317024447,3,0.6536009338975397,0.10369536317024447,3,0.7803524534659024,0.033507631554895105,3,0.5392572857713726,0.0565064901357343,3,1.5896175321443098,0.14742486245381423,3,0.1075,0.00795424415013771,3,,,0
phoneme,1489,rpl_lr,100,0.7338883749614554,0.017364055782054993,3,0.635474645041593,0.04460996230639443,3,0.6420748467829346,0.04729501103354337,3,0.6420748467829346,0.04729501103354337,3,0.7809222587411432,0.01872392895556448,3,0.5387915404842548,0.027813796474871387,3,1.2134246444904606,0.08203617688814317,3,0.09033333333333333,0.010428966072115357,3,,,0
phoneme,1489,rpl_lr,250,0.7375886524822696,0.01481074308790976,3,0.6497817122786155,0.04695978311970568,3,0.6546797647034092,0.046785351104440626,3,0.6546797647034092,0.046785351104440626,3,0.796137711199564,0.010277660127717934,3,0.537672848434211,0.031055088885019854,3,0.7670262406686473,0.07939932252532213,3,0.10583333333333333,0.008857388629462604,3,,,0
phoneme,1489,rpl_lr,500,0.7298797409805736,0.00734251057649754,3,0.6231027135943977,0.019163456056979517,3,0.6313898896032752,0.02029867059132235,3,0.6313898896032752,0.02029867059132235,3,0.7989137914898068,0.008082631544911654,3,0.5560052768379428,0.008698267304253434,3,0.6110784765674878,0.042351614926674365,3,0.11843333333333333,0.07917886923500066,3,,,0
phoneme,1489,self_training_catboost,50,0.7588652482269503,0.016787736773131265,3,0.7085150103776131,0.029675347386240728,3,0.7083695834672467,0.025494501800020688,3,0.7083695834672467,0.025494501800020688,3,0.8134541485677792,0.03054609523909223,3,0.5873508804035339,0.05612476896899841,3,1.7773077370389885,0.2538163004083808,3,36.5643,8.47320314639039,3,4266.333333333333,3.055050463303769,3
phoneme,1489,self_training_catboost,100,0.7770582793709528,0.00938842882987251,3,0.6983149454143063,0.0349638262041195,3,0.7086136276665113,0.026956078275469527,3,0.7086136276665113,0.026956078275469527,3,0.8441940420940206,0.016045215336397585,3,0.641749810172871,0.027025641864644866,3,1.432719444782112,0.14281438060542861,3,41.12226666666667,2.392003119423834,3,4202.0,9.848857801796104,3
phoneme,1489,self_training_catboost,250,0.8100524205982116,0.01156645040611229,3,0.7764119884827765,0.012151403683140907,3,0.773357558649796,0.012786396774480754,3,0.773357558649796,0.012786396774480754,3,0.8688277976888478,0.014365528295608677,3,0.7027465369923066,0.04885646985243197,3,0.9801429786241465,0.1270600762238639,3,40.510266666666666,4.823796165193273,3,4031.0,7.0,3
phoneme,1489,self_training_catboost,500,0.8162195497995683,0.013731387035591944,3,0.7684704995017645,0.011758894400337203,3,0.7738321442708106,0.014491646717290429,3,0.7738321442708106,0.014491646717290429,3,0.8831568863857829,0.008371449753642379,3,0.7274804447720103,0.004724545920806878,3,0.7459261751592594,0.029807635430526072,3,43.6856,7.206095952733351,3,3739.6666666666665,2.5166114784235907,3
phoneme,1489,self_training_lightgbm,50,0.7067530064754856,0.0,3,0.5,0.0,3,0.41409214092140917,0.0,3,0.41409214092140917,0.0,3,0.5266934502672854,0.04623441209225146,3,0.3083172082641419,0.026102377610008394,3,0.6017294461607956,0.005911572468873219,3,0.28286666666666666,0.08376815226166406,3,0.0,0.0,3
phoneme,1489,self_training_lightgbm,100,0.7773666358310206,0.012627564125466081,3,0.7148365457137981,0.042001461374197066,3,0.719486020024713,0.03329813711623281,3,0.719486020024713,0.03329813711623281,3,0.8254014787410332,0.017109154463818985,3,0.6195340850786714,0.019039228823333844,3,3.107564513874106,0.3471889122511293,3,29.187633333333334,0.45101858424385616,3,4221.333333333333,0.5773502691895601,3
phoneme,1489,self_training_lightgbm,250,0.8115942028985508,0.014839604582813375,3,0.7688895954107279,0.019717588591041887,3,0.7709036633329817,0.01891622047381837,3,0.7709036633329817,0.01891622047381837,3,0.8628531003462875,0.017943242300222463,3,0.7113099670649632,0.04273338552362905,3,1.6930215272006068,0.13676162583285298,3,43.763200000000005,3.0121336972319117,3,4066.6666666666665,3.511884584284187,3
phoneme,1489,self_training_lightgbm,500,0.8211532531606537,0.0132234237695908,3,0.7771903094565653,0.01848066998642484,3,0.7809660252363825,0.016175820187209915,3,0.7809660252363825,0.016175820187209915,3,0.8815658359070916,0.01102782727043314,3,0.7294255129735591,0.02846814082623935,3,1.2624769836516283,0.13078192070441602,3,44.8485,15.108137545375996,3,3809.0,3.4641016151377544,3
phoneme,1489,self_training_lr,50,0.748072772124576,0.04182636865973424,3,0.6747327145303098,0.1026364420381609,3,0.6700702149225758,0.10251512501572482,3,0.6700702149225758,0.10251512501572482,3,0.7850843146646408,0.03260807736060236,3,0.5446055733724773,0.05330956535905692,3,1.94759730255043,0.22614359608243442,3,0.1785,0.034696829826368875,3,4035.3333333333335,50.83633870897211,3
phoneme,1489,self_training_lr,100,0.7477644156645082,0.015924454312273042,3,0.6708232172251859,0.042584198662712035,3,0.6767289685094445,0.03757128410118343,3,0.6767289685094445,0.03757128410118343,3,0.7838924031468665,0.015237286629847427,3,0.5393208037656672,0.014096527756464269,3,1.6233714542023192,0.13559523115612396,3,0.18923333333333334,0.0541075164217813,3,3959.6666666666665,33.005050118630855,3
phoneme,1489,self_training_lr,250,0.759481961147086,0.0009250693802034526,3,0.6840347168315524,0.004683608971288854,3,0.6929772646994846,0.0036775441087771718,3,0.6929772646994846,0.0036775441087771718,3,0.8028157189180857,0.011966730240200407,3,0.5469037983054533,0.023812889463294382,3,1.0601036472817442,0.053393374002833074,3,0.13116666666666668,0.03768770798726468,3,3686.3333333333335,43.68447474027051,3
