dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete
adult,unlabeled_attention_ssl,250,0.7989217593066503,0.030607935150435594,3,0.737623403633934,0.010020211156406894,3,0.7312187287822658,0.01988699688011373,3,0.7312187287822658,0.01988699688011373,3,0.8431188836353477,0.026160355486689033,3,0.6407147579752824,0.03795052718211725,3,0.6548693679635677,0.13036534970852942,3,5.928833333333333,0.05613709409413116,3,3,3,0,1.0,True
adult,unlabeled_attention_ssl,500,0.8080322107346367,0.00853645670580676,3,0.7424881095029696,0.0075022983383262664,3,0.7394567124907755,0.005162584963296125,3,0.7394567124907755,0.005162584963296125,3,0.8478300622355266,0.01685130914958497,3,0.6648557136446508,0.006190935821807837,3,0.6965798189679885,0.024870433599136457,3,7.4192,0.34020864186554656,3,3,3,0,1.0,True
jannis,embedding_alignment_ssl,50,0.4537131028442905,0.09186881239453987,3,0.32641474828603106,0.02369652686591851,3,0.3048291516013819,0.05716061149416262,3,0.3048291516013819,0.05716061149416262,3,0.651620089483056,0.03437292814513236,3,,,0,1.1781899531263675,0.09954691550206875,3,4.164333333333333,0.3710456755351468,3,3,3,0,1.0,True
jannis,embedding_alignment_ssl,100,0.5137238510379969,0.04953097438557948,3,0.36671736909763997,0.025827485195644838,3,0.35025091500806643,0.020091460328529504,3,0.35025091500806643,0.020091460328529504,3,0.6985687936804044,0.034841168607774045,3,,,0,1.0705974429907574,0.07069313366857934,3,4.370866666666667,0.19430168124165403,3,3,3,0,1.0,True
jannis,embedding_alignment_ssl,250,0.5219840369419398,0.060058271368520405,3,0.3607900558010393,0.03243470034150047,3,0.3466878738451135,0.04167011906698308,3,0.3466878738451135,0.04167011906698308,3,0.7106042844897192,0.03670943936341518,3,,,0,1.0371679624245926,0.07139156659320557,3,4.297899999999999,0.11934659609724953,3,3,3,0,1.0,True
jannis,embedding_alignment_ssl,500,0.5540693855615931,0.015217472558147028,3,0.3499280759086513,0.01583379331505231,3,0.3409123954954663,0.02186177444373418,3,0.3409123954954663,0.02186177444373418,3,0.7240091252955345,0.01402817747265693,3,,,0,0.9972568904556284,0.00893937792122051,3,4.127066666666667,0.2591316332162733,3,3,3,0,1.0,True
jannis,geometric_attention_ssl,50,0.49666606954479403,0.02876803625098492,3,0.287955236474571,0.033983353099550626,3,0.2321547795709004,0.05938786716294324,3,0.2321547795709004,0.05938786716294324,3,0.655030901278868,0.019741165356865757,3,,,0,1.102805389170454,0.035157404301777176,3,14.733666666666666,0.42099817497624986,3,3,3,0,1.0,True
jannis,geometric_attention_ssl,100,0.5361955375092057,0.006510089095771085,3,0.3277849752006024,0.010833232031476533,3,0.2954064518248096,0.014413084077978967,3,0.2954064518248096,0.014413084077978967,3,0.7060782785974805,0.003088753839750496,3,,,0,1.0026501387727345,0.017461670953905606,3,14.907066666666665,0.343311845605905,3,3,3,0,1.0,True
jannis,geometric_attention_ssl,250,0.5540892896240123,0.011500501125402145,3,0.3501019540845362,0.01753867495098622,3,0.3333260402984288,0.033970042840869644,3,0.3333260402984288,0.033970042840869644,3,0.719789133726478,0.009484991625724951,3,,,0,0.9666553103530373,0.013994265237419042,3,17.1477,0.3651669618133595,3,3,3,0,1.0,True
jannis,geometric_attention_ssl,500,0.5686391592524034,0.024066011665800077,3,0.3685867524924078,0.029856743666792317,3,0.3564642433369878,0.05016058809159545,3,0.3564642433369878,0.05016058809159545,3,0.7298177130542499,0.02643094766045573,3,,,0,0.9368559894868943,0.024345784703236936,3,18.625733333333333,1.3667449445062292,3,3,3,0,1.0,True
jannis,unlabeled_attention_ssl,50,0.500069664218467,0.029077403282173335,3,0.31274257727069305,0.02691974113490861,3,0.2921451882694875,0.03509404477919181,3,0.2921451882694875,0.03509404477919181,3,0.6442672182627279,0.04612654891659281,3,,,0,1.0814310949604797,0.033182147620680516,3,7.316299999999999,0.4281031534572012,3,3,3,0,1.0,True
jannis,unlabeled_attention_ssl,100,0.5074341673135486,0.018079584232641867,3,0.3613993291158876,0.0217908523161533,3,0.36038375702372544,0.01892640942990271,3,0.36038375702372544,0.01892640942990271,3,0.6560648910911276,0.04042016476234416,3,,,0,1.2128404611808508,0.13189396044690185,3,8.0859,0.17023046143390438,3,3,3,0,1.0,True
jannis,unlabeled_attention_ssl,250,0.5211082581954977,0.012018181012278837,3,0.37609468746948255,0.005889038949082277,3,0.3726275468859018,0.008852920688417911,3,0.3726275468859018,0.008852920688417911,3,0.6646854975556405,0.02184896508496288,3,,,0,1.7904563395050734,0.27438425897563773,3,9.050866666666666,0.16914302626278638,3,3,3,0,1.0,True
jannis,unlabeled_attention_ssl,500,0.5313190422165164,0.019683386868397473,3,0.384095135998096,0.012605294612472858,3,0.3857836035325453,0.012558351932023258,3,0.3857836035325453,0.012558351932023258,3,0.6793376779239263,0.015654685319340708,3,,,0,2.1740119697641824,0.43545968988101347,3,11.481066666666669,0.19025368152373132,3,3,3,0,1.0,True
