dataset,ssl_method,supervised_method,n_labeled,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_roc_auc_mean,delta_roc_auc_std,runtime_ratio_ssl_over_sup_mean,pseudo_label_fraction_mean,n_paired_seeds,n_expected_seeds,pair_complete,comparison_warning
letter,self_training_lr,logistic_regression,50,0.001609248892915675,0.0027873008445539163,0.00022852332235765807,0.0003958140050379046,-0.00024222615718031784,0.0004195480111584753,0.9527466574760265,0.0058098223615464665,3,3,True,
letter,self_training_lr,logistic_regression,100,-0.032942343782756976,0.017915443219456845,-0.033293476516068954,0.019893481442637563,-0.013566431058815795,0.0067693208436112005,1.021949696875679,0.07689727463312367,3,3,True,
letter,self_training_lr,logistic_regression,250,-0.027002967991430538,0.0034608447162390206,-0.031676999518525574,0.0034356782855388983,-0.008293562837320337,0.0009606803897438332,3.9246405141086753,0.1273227513227513,3,3,True,
letter,self_training_lr,logistic_regression,500,-0.015897378183486355,0.004322221391558971,-0.019747800561823903,0.00535193224228961,-0.0015508147812239859,0.0009276856898310995,2.1696484204253457,0.1711827956989247,3,3,True,
letter,self_training_xgboost,xgboost,50,-0.004897606815579871,0.008482903840079953,-0.004121979896798467,0.007139478609032462,-0.009005615665015565,0.015598183885245141,2.8884800060244853,0.015047021943573666,3,3,True,
letter,self_training_xgboost,xgboost,100,-0.023642402514198635,0.01777486202030264,-0.025264597308941372,0.016909696109612373,-0.012750861666791624,0.005054998442122437,4.480255796450699,0.06563941299790353,3,3,True,
letter,self_training_xgboost,xgboost,250,-0.0056003696450300415,0.019153508103664115,-0.00783706196448534,0.019572565626635653,-0.017904720072044022,0.004336423450009663,5.392689262567235,0.33803174603174596,3,3,True,
letter,self_training_xgboost,xgboost,500,-0.006824177222489773,0.006757840053491261,-0.007540815988880012,0.007091542962439082,-0.005778926695168847,0.0014059515160651979,5.031476197412065,0.3870967741935483,3,3,True,
phoneme,rpl_lite_xgboost,xgboost,50,0.049649445885014964,0.047924622782862254,0.04511709422559773,0.05858710436058623,0.021530794259005392,0.019353863697608567,5.95582069054776,0.46657305562056317,3,3,True,
phoneme,rpl_lite_xgboost,xgboost,100,0.04811138454423832,0.028434796099331958,0.03351636306782143,0.02934476757995687,0.011941824808275658,0.012391715711250362,8.427361419487085,0.4844107664377615,3,3,True,
phoneme,rpl_lite_xgboost,xgboost,250,0.023876079739706402,0.014185083008797637,0.0097601347967576,0.011590909327656534,0.0013646423439641249,0.005315379591997344,6.9449212800224345,0.4883378345200098,3,3,True,
phoneme,rpl_lite_xgboost,xgboost,500,0.006946394261207541,0.01640664220667043,0.002475102556822817,0.014380805980247371,0.0015112226865079403,0.00607372514149842,5.640724157307187,0.4883599267590897,3,3,True,
phoneme,rpl_lr,logistic_regression,50,-0.02172898739821964,0.030471515857860832,-0.03873834322912991,0.06362675312507195,-0.011804878854443701,0.017527230102608995,12.315986850345018,,3,3,True,
phoneme,rpl_lr,logistic_regression,100,0.00783619887580452,0.007081810269183003,0.00784369815579918,0.008562188666013144,0.0009001271739310276,0.00904432936545602,7.904367778683717,,3,3,True,
phoneme,rpl_lr,logistic_regression,250,-0.007046867172059157,0.020728812626437006,-0.006906793480865166,0.02098770882956573,-0.0008574605953501161,0.0017433153513151391,19.634257933724797,,3,3,True,
phoneme,rpl_lr,logistic_regression,500,-0.02797688847782161,0.01294212048731931,-0.028366369806584395,0.013900288481258608,-0.004870871664436967,0.006222039185536877,20.911980127537475,,3,3,True,
phoneme,self_training_catboost,catboost,50,-0.023709542449116716,0.02521118269542916,-0.026590627137281036,0.03315327981887431,0.00635800837916541,0.007389503242160412,0.5746931333589393,0.0,3,3,True,
phoneme,self_training_catboost,catboost,100,-0.03424061748173594,0.016372465847981462,-0.02755046727638033,0.009025217849950012,0.007543038190716815,0.002401417213073934,0.9246006127692831,0.0,3,3,True,
phoneme,self_training_catboost,catboost,250,-0.022847952830032825,0.011411890519534874,-0.018274130796934296,0.013405750783648154,-0.007688242192016137,0.004320119217271516,1.5519337686833934,0.1747278828054668,3,3,True,
phoneme,self_training_catboost,catboost,500,-0.022736469189224895,0.010696177604853065,-0.02030678664785072,0.010190688670797044,-0.010056925473874267,0.0051772118266967555,1.6489737208536868,0.1961810096782631,3,3,True,
phoneme,self_training_lightgbm,lightgbm,50,0.0,0.0,0.0,0.0,0.0,0.0,0.9759042312419828,0.0,3,3,True,
phoneme,self_training_lightgbm,lightgbm,100,0.020481334060041562,0.018028164298468454,0.010462582977941262,0.01614181057978766,0.026772589888846676,0.017609005720156744,10.595524581902907,0.4825163785618439,3,3,True,
phoneme,self_training_lightgbm,lightgbm,250,0.032540836044725574,0.014855518023464276,0.02333205019133633,0.007922790158257973,0.016701901002526887,0.0006526862109320944,7.44604313757429,0.4883378345200098,3,3,True,
phoneme,self_training_lightgbm,lightgbm,500,0.008434219146558286,0.017796303571838833,0.0037966319732360976,0.01380041328380381,0.006208675354132646,0.0025717034674640512,3.302865761012434,0.4883599267590897,3,3,True,
phoneme,self_training_lr,logistic_regression,50,-0.029850777082266727,0.06578569907854269,-0.02905114580157579,0.05948069101506809,0.005962310271359443,0.009514357535514346,2.050588288780603,0.4983228020906467,3,3,True,
phoneme,self_training_lr,logistic_regression,100,-0.0028861875898062626,0.022023260147212297,-0.00413257628824526,0.019975826304663748,0.00533194598135885,0.0014512348584390083,1.7909688701542408,0.4998816007577552,3,3,True,
phoneme,self_training_lr,logistic_regression,250,-0.015683408481565242,0.019575702101744568,-0.016973985373155493,0.020257700903721212,-0.008903551510947386,0.006346931801467152,1.8510228993287134,0.45028234716425236,3,3,True,
phoneme,self_training_lr,logistic_regression,500,-0.018261983803216197,0.008187388242658602,-0.01908242578350594,0.008846296964641629,-0.010690042446363957,0.0032346651758301203,2.407659283675919,0.3902694219199581,3,3,True,
phoneme,self_training_xgboost,xgboost,50,0.033407242858165286,0.025242173442530776,0.03059835726369553,0.03808178125261997,0.011221998337379802,0.013109979425745499,3.7712655901046297,0.4402059443014275,3,3,True,
phoneme,self_training_xgboost,xgboost,100,0.04271406235376374,0.025022392482047084,0.029853391546878567,0.02828907777925802,0.007977962023992294,0.014598795703795428,5.564461729094916,0.4740705659483779,3,3,True,
phoneme,self_training_xgboost,xgboost,250,0.022953242935240408,0.013626288339701217,0.009379031536976168,0.009983456471806061,-0.000742536101430861,0.007267828456601531,8.667896726319688,0.4851460839675914,3,3,True,
phoneme,self_training_xgboost,xgboost,500,0.009972280487334895,0.007326458527448395,0.004617769446756441,0.006551464887358791,0.0008602132778392871,0.004750007678941291,4.420578012472563,0.4883599267590897,3,3,True,
spambase,rpl_lite_xgboost,xgboost,50,-0.0143541969055165,0.03471707359071572,-0.014658949437053334,0.03498684288091435,-0.008194522612899916,0.022525249185458493,3.3101401210024872,0.48815426997245187,3,3,True,
