method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
tabiclv2_self_training,250,0.8255364680172815,0.09844179819193707,30,0.7646803752617325,0.14091637613609925,30,0.770650952050601,0.13796883130072063,30,0.770650952050601,0.13796883130072063,30,0.9059525473859451,0.06700785484529771,30,0.7609224858931241,0.15394723824472603,18,0.41842926809305536,0.22237075143008017,30,11.59483,11.699195285180648,30
tabiclv2_self_training,500,0.8424660308220744,0.09059945611906708,30,0.7811409925507163,0.13874981805302314,30,0.7895713138123855,0.13504608516021818,30,0.7895713138123855,0.13504608516021818,30,0.9211898052469482,0.05870050075799828,30,0.7878894549648581,0.1451166612441842,18,0.3733837036349932,0.21066825076750723,30,11.665956666666666,10.629395119088981,30
tabpfn3_self_training,50,0.7629288488845469,0.11868155918938422,30,0.6915467544229551,0.1587097985448072,30,0.6864387096520084,0.16446495178585002,30,0.6864387096520084,0.16446495178585002,30,0.8458769453076278,0.10494856911267837,30,0.6578588735023647,0.2253358870690854,18,0.5672751859033507,0.2943521255885016,30,11.724806666666666,3.2556461872423657,30
tabpfn3_self_training,100,0.7909629918592501,0.1134279966434887,30,0.7324120508914496,0.14640492511042247,30,0.7316296909188159,0.14794232120118192,30,0.7316296909188159,0.14794232120118192,30,0.875737968892452,0.08414348106840583,30,0.7207860073525096,0.18217065375081734,18,0.4984293260681375,0.2642392823756513,30,13.729023333333334,5.613037476034507,30
tabpfn3_self_training,250,0.8223284949529452,0.10258889162098417,30,0.7608379435842209,0.14648243509552997,30,0.7658196954961635,0.14387160229738308,30,0.7658196954961635,0.14387160229738308,30,0.9039567786026118,0.07008713866905512,30,0.7609248501380533,0.1555908451842502,18,0.41886743783108227,0.22437492860616423,30,13.639896666666667,5.182308931320448,30
tabpfn3_self_training,500,0.839986498570584,0.0917569351747745,30,0.7791342121807251,0.14062564825489843,30,0.7862921472182928,0.13722608693729946,30,0.7862921472182928,0.13722608693729946,30,0.9201545724313781,0.05923872400223192,30,0.7864340285705935,0.1497003584185143,18,0.376234785940235,0.20746715893603965,30,14.21173,4.985868530650506,30
unlabeled_attention_ssl,50,0.7076027518551291,0.1211131455304932,30,0.5903749818835201,0.1738054771925478,30,0.568291078840415,0.18445430338986066,30,0.568291078840415,0.18445430338986066,30,0.8099650836755912,0.1190960304261215,30,0.606799311090292,0.2073617551494694,18,0.8339538130055023,0.47889676030912565,30,4.356023333333334,1.459044214471107,30
unlabeled_attention_ssl,100,0.7269442988712488,0.12872926137664878,30,0.6404178792878309,0.18229368141341126,30,0.6212109526234961,0.19118623763570314,30,0.6212109526234961,0.19118623763570314,30,0.8343743468192945,0.09973373238805554,30,0.6530567996972966,0.17400450460923822,18,0.7741947423598181,0.31893797534969076,30,4.603546666666667,1.5768758776800396,30
unlabeled_attention_ssl,250,0.7708745416853936,0.12247298371291467,30,0.6979407864352716,0.16846521535217968,30,0.6945765715521142,0.16948107349752994,30,0.6945765715521142,0.16948107349752994,30,0.8559171765537681,0.08886672518976843,30,0.6943426815981032,0.17483738019662848,18,0.6927535878435997,0.43269680130181615,30,4.91167,1.6772071323873605,30
unlabeled_attention_ssl,500,0.7938591435414097,0.11438956721519795,30,0.7419206287760615,0.14575846545720111,30,0.7435610924862003,0.14461391910368634,30,0.7435610924862003,0.14461391910368634,30,0.8709103763147087,0.08982521706491277,30,0.718736150355435,0.16617012222483654,18,0.733626685518123,0.5363412315423289,30,5.930196666666666,2.246019498715271,30
