dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
segment,tabiclv2_self_training,100,0.9184704184704184,0.009760280850265967,3,0.9184704184704185,0.009760280850265987,3,0.9167221804784133,0.008581057242173859,3,0.9167221804784133,0.008581057242173859,3,0.993493739705861,0.0007550154126927654,3,,,0,0.2178865269028478,0.017150318369122217,3,4.8227,0.06569117140072922,3,3,3,0,1.0,True,1.0
segment,tabpfn3_self_training,250,0.9581529581529581,0.006612663340484526,3,0.9581529581529583,0.006612663340484633,3,0.9583794606325915,0.006173204412865989,3,0.9583794606325915,0.006173204412865989,3,0.9968206596994476,0.001017927840345347,3,,,0,0.13712907978291816,0.021558757305798554,3,9.0187,0.3170874800429694,3,3,3,0,1.0,True,1.0
segment,tabiclv2_self_training,500,0.9675324675324676,0.00780422353996535,3,0.9675324675324676,0.007804223539965581,3,0.9678459049395581,0.007390467430213039,3,0.9678459049395581,0.007390467430213039,3,0.9984914075823165,0.000509328219448739,3,,,0,0.1014047065494922,0.02628739697749408,3,5.113833333333333,0.29122933116932737,3,3,3,0,1.0,True,1.0
spambase,tabpfn3_self_training,50,0.8972131740861382,0.0027324771752699067,3,0.8909451306812012,0.005073674415506316,3,0.8920445731901562,0.0031484927208405822,3,0.8920445731901562,0.0031484927208405822,3,0.9562799714314867,0.00646831055238613,3,0.9412809929924002,0.00569498255370565,3,0.2708999940032732,0.012323470725322968,3,10.650599999999999,0.07028805019347115,3,3,3,0,1.0,True,1.0
spambase,tabpfn3_self_training,100,0.9073470865001809,0.009486313732957772,3,0.9068495314829627,0.009402803910385211,3,0.9036436400167008,0.009191169745829385,3,0.9036436400167008,0.009191169745829385,3,0.9671741856492589,0.005220915784155053,3,0.9565993449637178,0.0073464600747623985,3,0.23762267355037228,0.014911443067311932,3,10.869333333333335,0.09765020907982407,3,3,3,0,1.0,True,1.0
spambase,tabpfn3_self_training,250,0.9319580166485703,0.007229455068924425,3,0.9292460282196352,0.008072683583205145,3,0.9288164984718131,0.007517944478151051,3,0.9288164984718131,0.007517944478151051,3,0.9749136855686219,0.004423771635330536,3,0.9658578356145346,0.00409468439887823,3,0.20082509285382855,0.020698854300717065,3,10.636366666666667,0.1633375747748609,3,3,3,0,1.0,True,1.0
spambase,tabiclv2_self_training,500,0.9435396308360477,0.0032573289902280422,3,0.9394457774223172,0.0028144931005603157,3,0.9407181155191817,0.0033311056474853514,3,0.9407181155191817,0.0033311056474853514,3,0.9812593185027202,0.0029819699126807874,3,0.9734095987381131,0.003245677328744304,3,0.16804863748415277,0.011409321664606542,3,6.547066666666666,0.0807317368408074,3,3,3,0,1.0,True,1.0
steel-plates-fault,tabpfn3_self_training,50,0.5972579263067694,0.048933304319688904,3,0.631640558457601,0.023540165500048196,3,0.6067034639790482,0.051914453631353955,3,0.6067034639790482,0.051914453631353955,3,0.8756767523337334,0.013560069341730414,3,,,0,1.143684788927505,0.14181850392734033,3,10.608233333333333,2.758959355143408,3,3,3,0,1.0,True,1.0
steel-plates-fault,tabiclv2_self_training,100,0.6366752356469579,0.06783580628282705,3,0.6898845467088993,0.06894916761664377,3,0.6642043376933242,0.06658351575704104,3,0.6642043376933242,0.06658351575704104,3,0.8993661315461369,0.010067772222935388,3,,,0,1.0013029367447845,0.16107080963855747,3,7.135866666666666,0.9760367633103444,3,3,3,0,1.0,True,1.0
steel-plates-fault,tabpfn3_self_training,250,0.7223650385604113,0.01853753869133154,3,0.7666368419553464,0.010129209463149305,3,0.7567755542503759,0.011292971727390628,3,0.7567755542503759,0.011292971727390628,3,0.9419957279077927,0.002665263365233893,3,,,0,0.7122696432245208,0.03253494630034873,3,13.053899999999999,0.2946919917473164,3,3,3,0,1.0,True,1.0
